run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,forward-churn,4096,bulk-c,3,8,1,46000,16179575584198035560,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,4,8,1,46000,17446345528588560489,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,4,8,1,46000,17446345528588560489,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,4,8,1,105000,17446345528588560489,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,5,8,1,46000,266371399269533802,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,5,8,1,108000,266371399269533802,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,5,8,1,46000,266371399269533802,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,6,8,1,104000,1533141343660058731,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,6,8,1,46000,1533141343660058731,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,6,8,1,46000,1533141343660058731,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,7,8,1,46000,2799911288050583660,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,7,8,1,46000,2799911288050583660,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,7,8,1,105000,2799911288050583660,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,8,8,1,46000,4066681232441108589,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,8,8,1,106000,4066681232441108589,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,8,8,1,46000,4066681232441108589,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,9,8,1,105000,5333451176831633518,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,9,8,1,47000,5333451176831633518,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,9,8,1,46000,5333451176831633518,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,10,8,1,46000,6600221121222158447,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,10,8,1,47000,6600221121222158447,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,10,8,1,104000,6600221121222158447,1,32792,32792
0,normal,0,8,reverse-churn,16,whitefoot,0,2048,1,131000,2241966675582636589,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,0,2048,1,94000,2241966675582636589,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,0,2048,1,96000,2241966675582636589,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,1,2048,1,97000,18009472699233218830,1,152,152
