comparison,workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
unseeded-union,prefix-expression,1b916975,4,false,23.618,11665408,4391
unseeded-union,prefix-expression,16fed4e5,4,false,23.497,11714560,4391
unseeded-union,prefix-expression,16fed4e5,5,false,23.476,11894784,4391
unseeded-union,prefix-expression,1b916975,5,false,23.626,11812864,4391
unseeded-union,wfgrep,1b916975,0,true,831.310,246710272,47412
unseeded-union,wfgrep,16fed4e5,0,true,823.073,261259264,47412
unseeded-union,wfgrep,16fed4e5,1,false,826.911,256458752,47412
unseeded-union,wfgrep,1b916975,1,false,819.901,246497280,47412
unseeded-union,wfgrep,1b916975,2,false,825.470,246759424,47412
unseeded-union,wfgrep,16fed4e5,2,false,827.247,257523712,47412
unseeded-union,wfgrep,16fed4e5,3,false,832.828,249118720,47412
unseeded-union,wfgrep,1b916975,3,false,838.822,260325376,47412
unseeded-union,wfgrep,1b916975,4,false,832.590,256884736,47412
unseeded-union,wfgrep,16fed4e5,4,false,816.989,247922688,47412
unseeded-union,wfgrep,16fed4e5,5,false,825.952,250265600,47412
unseeded-union,wfgrep,1b916975,5,false,843.770,258113536,47412
unseeded-union,raw-deflate,1b916975,0,true,688.574,114704384,74201
unseeded-union,raw-deflate,16fed4e5,0,true,286.690,87162880,74201
unseeded-union,raw-deflate,16fed4e5,1,false,287.426,87408640,74201
unseeded-union,raw-deflate,1b916975,1,false,686.663,117424128,74201
unseeded-union,raw-deflate,1b916975,2,false,688.586,114704384,74201
unseeded-union,raw-deflate,16fed4e5,2,false,292.610,88637440,74201
unseeded-union,raw-deflate,16fed4e5,3,false,289.970,93028352,74201
unseeded-union,raw-deflate,1b916975,3,false,690.604,118996992,74201
unseeded-union,raw-deflate,1b916975,4,false,686.626,116244480,74201
unseeded-union,raw-deflate,16fed4e5,4,false,291.526,92307456,74201
unseeded-union,raw-deflate,16fed4e5,5,false,292.146,91242496,74201
unseeded-union,raw-deflate,1b916975,5,false,696.899,117293056,74201
unseeded-union,copies-4,1b916975,0,true,21.008,10567680,793
unseeded-union,copies-4,16fed4e5,0,true,20.073,10698752,793
unseeded-union,copies-4,16fed4e5,1,false,19.764,10633216,793
unseeded-union,copies-4,1b916975,1,false,19.845,10600448,793
unseeded-union,copies-4,1b916975,2,false,19.936,10616832,793
unseeded-union,copies-4,16fed4e5,2,false,19.825,10633216,793
unseeded-union,copies-4,16fed4e5,3,false,20.261,10616832,793
unseeded-union,copies-4,1b916975,3,false,20.209,10420224,793
unseeded-union,copies-4,1b916975,4,false,20.097,10600448,793
unseeded-union,copies-4,16fed4e5,4,false,20.085,10616832,793
unseeded-union,copies-4,16fed4e5,5,false,19.978,10616832,793
unseeded-union,copies-4,1b916975,5,false,19.892,10420224,793
unseeded-union,copies-8,1b916975,0,true,20.682,10764288,901
unseeded-union,copies-8,16fed4e5,0,true,20.609,10829824,901
unseeded-union,copies-8,16fed4e5,1,false,21.102,10829824,901
unseeded-union,copies-8,1b916975,1,false,21.383,10862592,901
unseeded-union,copies-8,1b916975,2,false,20.521,10764288,901
unseeded-union,copies-8,16fed4e5,2,false,20.652,10846208,901
unseeded-union,copies-8,16fed4e5,3,false,20.196,10846208,901
unseeded-union,copies-8,1b916975,3,false,20.534,10895360,901
unseeded-union,copies-8,1b916975,4,false,20.437,10797056,901
unseeded-union,copies-8,16fed4e5,4,false,21.538,10780672,901
unseeded-union,copies-8,16fed4e5,5,false,21.702,10895360,901
