comparison	arm	workers	pass	words	rows	sample	wall_ns	cpu_ns	grants
null	baseline	4	4	17	2	0	0	3000	0
null	baseline	4	4	17	2	1	0	1000	0
null	baseline	4	4	17	2	2	0	1000	0
null	baseline	4	4	17	2	3	0	1000	0
null	baseline	4	4	17	2	4	0	1000	0
null	baseline	4	4	17	2	5	0	1000	0
null	candidate	1	4	16384	512	0	10439000	10443000	0
null	candidate	1	4	16384	512	1	10403000	10405000	0
null	candidate	1	4	16384	512	2	10430000	10431000	0
null	candidate	1	4	16384	512	3	10397000	10398000	0
null	candidate	1	4	16384	512	4	10403000	10405000	0
null	candidate	1	4	16384	512	5	10428000	10418000	0
null	baseline	1	4	16384	512	0	10411000	10417000	0
null	baseline	1	4	16384	512	1	10450000	10452000	0
null	baseline	1	4	16384	512	2	10433000	10427000	0
null	baseline	1	4	16384	512	3	10451000	10445000	0
null	baseline	1	4	16384	512	4	10533000	10535000	0
null	baseline	1	4	16384	512	5	10472000	10465000	0
null	candidate	2	4	16384	512	0	5497000	10892000	1
null	candidate	2	4	16384	512	1	5372000	8985000	1
null	candidate	2	4	16384	512	2	5412000	10787000	1
null	candidate	2	4	16384	512	3	5381000	10762000	1
null	candidate	2	4	16384	512	4	5425000	10775000	1
null	candidate	2	4	16384	512	5	5413000	10772000	1
null	baseline	2	4	16384	512	0	5432000	10819000	1
null	baseline	2	4	16384	512	1	5463000	10853000	1
null	baseline	2	4	16384	512	2	5324000	10566000	1
null	baseline	2	4	16384	512	3	5234000	10440000	1
null	baseline	2	4	16384	512	4	5367000	10581000	1
null	baseline	2	4	16384	512	5	5395000	9548000	1
null	candidate	4	4	16384	512	0	3182000	11371000	11
null	candidate	4	4	16384	512	1	2974000	11295000	13
null	candidate	4	4	16384	512	2	2880000	10601000	6
null	candidate	4	4	16384	512	3	2864000	11065000	3
null	candidate	4	4	16384	512	4	2801000	10897000	14
null	candidate	4	4	16384	512	5	2813000	9514000	4
null	baseline	4	4	16384	512	0	2826000	7238000	3
null	baseline	4	4	16384	512	1	2804000	10982000	12
null	baseline	4	4	16384	512	2	2853000	11094000	5
null	baseline	4	4	16384	512	3	2832000	11036000	3
null	baseline	4	4	16384	512	4	2798000	10944000	9
null	baseline	4	4	16384	512	5	2817000	10177000	3
null	baseline	1	5	17	2	0	0	3000	0
null	baseline	1	5	17	2	1	0	2000	0
null	baseline	1	5	17	2	2	0	1000	0
null	baseline	1	5	17	2	3	0	1000	0
null	baseline	1	5	17	2	4	0	1000	0
null	baseline	1	5	17	2	5	0	2000	0
null	candidate	1	5	17	2	0	0	3000	0
null	candidate	1	5	17	2	1	0	1000	0
null	candidate	1	5	17	2	2	0	0	0
null	candidate	1	5	17	2	3	0	1000	0
null	candidate	1	5	17	2	4	0	2000	0
null	candidate	1	5	17	2	5	0	1000	0
null	baseline	4	5	17	2	0	0	4000	0
null	baseline	4	5	17	2	1	0	2000	0
null	baseline	4	5	17	2	2	0	1000	0
null	baseline	4	5	17	2	3	0	1000	0
null	baseline	4	5	17	2	4	0	1000	0
null	baseline	4	5	17	2	5	0	2000	0
null	candidate	4	5	17	2	0	0	3000	0
null	candidate	4	5	17	2	1	0	2000	0
null	candidate	4	5	17	2	2	0	2000	0
null	candidate	4	5	17	2	3	0	1000	0
null	candidate	4	5	17	2	4	0	0	0
null	candidate	4	5	17	2	5	1000	1000	0
null	baseline	1	5	16384	512	0	10776000	10593000	0
null	baseline	1	5	16384	512	1	10555000	10471000	0
null	baseline	1	5	16384	512	2	10768000	10754000	0
null	baseline	1	5	16384	512	3	10624000	10601000	0
null	baseline	1	5	16384	512	4	10825000	10718000	0
null	baseline	1	5	16384	512	5	10506000	10508000	0
null	candidate	1	5	16384	512	0	10658000	10601000	0
null	candidate	1	5	16384	512	1	10602000	10602000	0
null	candidate	1	5	16384	512	2	10475000	10477000	0
null	candidate	1	5	16384	512	3	10439000	10434000	0
null	candidate	1	5	16384	512	4	10460000	10461000	0
null	candidate	1	5	16384	512	5	10574000	10572000	0
null	baseline	2	5	16384	512	0	5507000	10750000	1
null	baseline	2	5	16384	512	1	5324000	10540000	1
null	baseline	2	5	16384	512	2	5429000	5497000	1
null	baseline	2	5	16384	512	3	5259000	9854000	1
null	baseline	2	5	16384	512	4	5469000	10805000	1
null	baseline	2	5	16384	512	5	5365000	5366000	1
null	candidate	2	5	16384	512	0	5471000	10839000	1
null	candidate	2	5	16384	512	1	5447000	10818000	1
null	candidate	2	5	16384	512	2	5449000	10834000	1
null	candidate	2	5	16384	512	3	5374000	10630000	1
null	candidate	2	5	16384	512	4	5405000	10727000	1
null	candidate	2	5	16384	512	5	5358000	10501000	1
null	baseline	4	5	16384	512	0	2966000	11272000	14
null	baseline	4	5	16384	512	1	2796000	10891000	3
null	baseline	4	5	16384	512	2	2863000	11108000	5
null	baseline	4	5	16384	512	3	2837000	10953000	16
null	baseline	4	5	16384	512	4	2804000	10986000	4
null	baseline	4	5	16384	512	5	2912000	11077000	5
null	candidate	4	5	16384	512	0	2982000	11323000	12
null	candidate	4	5	16384	512	1	2867000	11009000	6
null	candidate	4	5	16384	512	2	2824000	11084000	15
null	candidate	4	5	16384	512	3	2829000	10977000	5
null	candidate	4	5	16384	512	4	2860000	11044000	13
null	candidate	4	5	16384	512	5	2849000	11048000	11
null	baseline	8	5	16384	512	0	1906000	12503000	26
null	baseline	8	5	16384	512	1	1693000	12408000	33
null	baseline	8	5	16384	512	2	2342000	12189000	31
null	baseline	8	5	16384	512	3	1791000	11954000	31
null	baseline	8	5	16384	512	4	1804000	12190000	29
null	baseline	8	5	16384	512	5	1766000	11676000	37
null	candidate	8	5	16384	512	0	1843000	13043000	29
null	candidate	8	5	16384	512	1	1717000	12740000	41
null	candidate	8	5	16384	512	2	1920000	12757000	28
null	candidate	8	5	16384	512	3	2258000	13070000	23
null	candidate	8	5	16384	512	4	2236000	12283000	29
null	candidate	8	5	16384	512	5	2488000	12372000	25
matched	baseline	1	1	16384	512	0	10619000	10597000	0
matched	baseline	1	1	16384	512	1	11223000	10962000	0
matched	baseline	1	1	16384	512	2	18295000	11057000	0
matched	baseline	1	1	16384	512	3	11025000	10910000	0
matched	baseline	1	1	16384	512	4	11080000	10913000	0
matched	baseline	1	1	16384	512	5	10651000	10591000	0
matched	candidate	1	1	16384	512	0	10474000	10471000	0
matched	candidate	1	1	16384	512	1	10742000	10691000	0
matched	candidate	1	1	16384	512	2	10603000	10555000	0
matched	candidate	1	1	16384	512	3	10541000	10519000	0
matched	candidate	1	1	16384	512	4	10517000	10482000	0
matched	candidate	1	1	16384	512	5	10453000	10436000	0
matched	baseline	2	1	16384	512	0	10506000	10489000	0
matched	baseline	2	1	16384	512	1	10793000	10717000	0
matched	baseline	2	1	16384	512	2	10613000	10572000	0
matched	baseline	2	1	16384	512	3	10488000	10454000	0
matched	baseline	2	1	16384	512	4	10625000	10590000	0
matched	baseline	2	1	16384	512	5	10566000	10527000	0
matched	candidate	2	1	16384	512	0	5377000	10572000	1
matched	candidate	2	1	16384	512	1	5417000	10772000	1
matched	candidate	2	1	16384	512	2	5404000	10633000	1
matched	candidate	2	1	16384	512	3	5432000	9320000	1
matched	candidate	2	1	16384	512	4	5454000	10813000	1
matched	candidate	2	1	16384	512	5	5443000	10649000	1
matched	baseline	4	1	16384	512	0	10526000	10488000	0
matched	baseline	4	1	16384	512	1	10513000	10512000	0
matched	baseline	4	1	16384	512	2	10403000	10405000	0
matched	baseline	4	1	16384	512	3	10437000	10439000	0
matched	baseline	4	1	16384	512	4	10536000	10539000	0
matched	baseline	4	1	16384	512	5	10448000	10449000	0
matched	candidate	4	1	16384	512	0	2876000	11103000	3
matched	candidate	4	1	16384	512	1	2775000	10878000	8
matched	candidate	4	1	16384	512	2	2819000	11029000	16
matched	candidate	4	1	16384	512	3	2838000	10994000	5
matched	candidate	4	1	16384	512	4	2837000	10986000	5
matched	candidate	4	1	16384	512	5	2813000	11006000	4
matched	baseline	8	1	16384	512	0	10451000	10445000	0
matched	baseline	8	1	16384	512	1	10426000	10427000	0
matched	baseline	8	1	16384	512	2	10764000	10750000	0
matched	baseline	8	1	16384	512	3	11031000	10963000	0
matched	baseline	8	1	16384	512	4	10702000	10676000	0
matched	baseline	8	1	16384	512	5	10820000	10809000	0
matched	candidate	8	1	16384	512	0	2016000	13222000	37
matched	candidate	8	1	16384	512	1	1617000	6263000	35
matched	candidate	8	1	16384	512	2	1843000	15176000	32
matched	candidate	8	1	16384	512	3	1650000	12518000	37
matched	candidate	8	1	16384	512	4	1828000	12033000	39
matched	candidate	8	1	16384	512	5	1686000	12497000	19
matched	baseline	1	1	17	2	0	0	6000	0
matched	baseline	1	1	17	2	1	0	2000	0
matched	baseline	1	1	17	2	2	0	1000	0
matched	baseline	1	1	17	2	3	0	2000	0
matched	baseline	1	1	17	2	4	0	1000	0
matched	baseline	1	1	17	2	5	0	1000	0
matched	candidate	1	1	17	2	0	0	3000	0
matched	candidate	1	1	17	2	1	0	2000	0
matched	candidate	1	1	17	2	2	0	2000	0
matched	candidate	1	1	17	2	3	0	1000	0
matched	candidate	1	1	17	2	4	0	1000	0
matched	candidate	1	1	17	2	5	0	2000	0
matched	baseline	4	1	17	2	0	0	6000	0
matched	baseline	4	1	17	2	1	0	1000	0
matched	baseline	4	1	17	2	2	0	1000	0
matched	baseline	4	1	17	2	3	0	2000	0
matched	baseline	4	1	17	2	4	0	1000	0
matched	baseline	4	1	17	2	5	0	1000	0
matched	candidate	4	1	17	2	0	1000	6000	0
matched	candidate	4	1	17	2	1	0	3000	0
matched	candidate	4	1	17	2	2	0	2000	0
matched	candidate	4	1	17	2	3	0	1000	0
matched	candidate	4	1	17	2	4	0	1000	0
matched	candidate	4	1	17	2	5	0	1000	0
matched	candidate	2	2	16384	512	0	5534000	10897000	1
matched	candidate	2	2	16384	512	1	5360000	10549000	1
matched	candidate	2	2	16384	512	2	5343000	10635000	1
matched	candidate	2	2	16384	512	3	5427000	10791000	1
matched	candidate	2	2	16384	512	4	5366000	10729000	1
matched	candidate	2	2	16384	512	5	5427000	10803000	1
matched	baseline	2	2	16384	512	0	10441000	10441000	0
matched	baseline	2	2	16384	512	1	10435000	10437000	0
matched	baseline	2	2	16384	512	2	10486000	10479000	0
matched	baseline	2	2	16384	512	3	10513000	10500000	0
matched	baseline	2	2	16384	512	4	10468000	10460000	0
matched	baseline	2	2	16384	512	5	10531000	10514000	0
matched	candidate	4	2	16384	512	0	2935000	11234000	6
matched	candidate	4	2	16384	512	1	3024000	11236000	14
matched	candidate	4	2	16384	512	2	2831000	10977000	5
matched	candidate	4	2	16384	512	3	2870000	11135000	14
matched	candidate	4	2	16384	512	4	2836000	11061000	5
matched	candidate	4	2	16384	512	5	2829000	10994000	5
matched	baseline	4	2	16384	512	0	10469000	10468000	0
matched	baseline	4	2	16384	512	1	10494000	10484000	0
matched	baseline	4	2	16384	512	2	10520000	10504000	0
matched	baseline	4	2	16384	512	3	10442000	10437000	0
matched	baseline	4	2	16384	512	4	10529000	10498000	0
matched	baseline	4	2	16384	512	5	10479000	10481000	0
matched	candidate	8	2	16384	512	0	2035000	12955000	36
matched	candidate	8	2	16384	512	1	1713000	12503000	33
matched	candidate	8	2	16384	512	2	1693000	12837000	32
matched	candidate	8	2	16384	512	3	1658000	12691000	29
matched	candidate	8	2	16384	512	4	1826000	12572000	28
matched	candidate	8	2	16384	512	5	1769000	12352000	23
matched	baseline	8	2	16384	512	0	10446000	10443000	0
matched	baseline	8	2	16384	512	1	10473000	10450000	0
matched	baseline	8	2	16384	512	2	10436000	10438000	0
matched	baseline	8	2	16384	512	3	10446000	10439000	0
matched	baseline	8	2	16384	512	4	10453000	10433000	0
matched	baseline	8	2	16384	512	5	10496000	10475000	0
matched	candidate	1	2	17	2	0	0	3000	0
matched	candidate	1	2	17	2	1	0	2000	0
matched	candidate	1	2	17	2	2	0	0	0
matched	candidate	1	2	17	2	3	0	1000	0
matched	candidate	1	2	17	2	4	0	2000	0
matched	candidate	1	2	17	2	5	0	1000	0
matched	baseline	1	2	17	2	0	0	3000	0
matched	baseline	1	2	17	2	1	0	1000	0
matched	baseline	1	2	17	2	2	0	1000	0
matched	baseline	1	2	17	2	3	0	1000	0
matched	baseline	1	2	17	2	4	0	1000	0
matched	baseline	1	2	17	2	5	0	2000	0
matched	candidate	4	2	17	2	0	0	5000	0
matched	candidate	4	2	17	2	1	0	1000	0
matched	candidate	4	2	17	2	2	0	2000	0
matched	candidate	4	2	17	2	3	0	1000	0
matched	candidate	4	2	17	2	4	0	1000	0
matched	candidate	4	2	17	2	5	0	1000	0
matched	baseline	4	2	17	2	0	1000	3000	0
matched	baseline	4	2	17	2	1	0	1000	0
matched	baseline	4	2	17	2	2	0	1000	0
matched	baseline	4	2	17	2	3	0	2000	0
matched	baseline	4	2	17	2	4	0	1000	0
matched	baseline	4	2	17	2	5	1000	1000	0
matched	candidate	1	2	16384	512	0	10457000	10459000	0
matched	candidate	1	2	16384	512	1	10550000	10533000	0
matched	candidate	1	2	16384	512	2	10450000	10452000	0
matched	candidate	1	2	16384	512	3	10434000	10434000	0
matched	candidate	1	2	16384	512	4	10530000	10507000	0
matched	candidate	1	2	16384	512	5	10456000	10457000	0
matched	baseline	1	2	16384	512	0	10541000	10518000	0
matched	baseline	1	2	16384	512	1	10534000	10537000	0
matched	baseline	1	2	16384	512	2	10555000	10551000	0
matched	baseline	1	2	16384	512	3	10642000	10610000	0
matched	baseline	1	2	16384	512	4	10428000	10419000	0
matched	baseline	1	2	16384	512	5	10461000	10459000	0
matched	baseline	4	3	16384	512	0	10591000	10591000	0
matched	baseline	4	3	16384	512	1	10425000	10424000	0
matched	baseline	4	3	16384	512	2	10535000	10519000	0
matched	baseline	4	3	16384	512	3	10528000	10530000	0
matched	baseline	4	3	16384	512	4	10499000	10490000	0
matched	baseline	4	3	16384	512	5	10458000	10450000	0
matched	candidate	4	3	16384	512	0	2886000	11095000	5
matched	candidate	4	3	16384	512	1	2817000	10979000	5
matched	candidate	4	3	16384	512	2	2809000	11005000	18
matched	candidate	4	3	16384	512	3	2835000	11087000	6
matched	candidate	4	3	16384	512	4	2932000	11171000	13
matched	candidate	4	3	16384	512	5	2786000	10890000	3
matched	baseline	8	3	16384	512	0	10443000	10448000	0
matched	baseline	8	3	16384	512	1	10461000	10426000	0
matched	baseline	8	3	16384	512	2	10400000	10401000	0
matched	baseline	8	3	16384	512	3	10499000	10490000	0
matched	baseline	8	3	16384	512	4	10814000	10801000	0
matched	baseline	8	3	16384	512	5	10662000	10634000	0
matched	candidate	8	3	16384	512	0	1742000	12715000	34
matched	candidate	8	3	16384	512	1	1653000	12581000	41
matched	candidate	8	3	16384	512	2	1739000	12664000	31
matched	candidate	8	3	16384	512	3	2006000	12103000	29
matched	candidate	8	3	16384	512	4	1810000	12391000	35
matched	candidate	8	3	16384	512	5	1742000	12505000	30
matched	baseline	1	3	17	2	0	0	5000	0
matched	baseline	1	3	17	2	1	0	2000	0
matched	baseline	1	3	17	2	2	0	2000	0
matched	baseline	1	3	17	2	3	0	1000	0
matched	baseline	1	3	17	2	4	0	1000	0
