cohort,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,normal,whitefoot,rehash,256,3,64,64,65627,1849948637904797696,2261161121994670040,8320,29696
0,normal,interleaved,rehash,256,3,64,64,49086,1849948637904797696,2261161121994670040,8320,23552
0,normal,split,rehash,256,3,64,64,42664,1849948637904797696,2261161121994670040,8320,18176
0,normal,whitefoot,rehash,256,4,64,64,65207,1849948637904797696,5701732356075431008,8320,29696
0,normal,interleaved,rehash,256,4,64,64,48544,1849948637904797696,5701732356075431008,8320,23552
0,normal,split,rehash,256,4,64,64,42502,1849948637904797696,5701732356075431008,8320,18176
0,normal,whitefoot,rehash,256,5,64,64,65121,1849948637904797696,6599659187284699208,8320,29696
0,normal,interleaved,rehash,256,5,64,64,48457,1849948637904797696,6599659187284699208,8320,23552
0,normal,split,rehash,256,5,64,64,42415,1849948637904797696,6599659187284699208,8320,18176
0,normal,whitefoot,rehash,256,6,64,64,65752,1849948637904797696,7026256584100517184,8320,29696
0,normal,interleaved,rehash,256,6,64,64,48626,1849948637904797696,7026256584100517184,8320,23552
0,normal,split,rehash,256,6,64,64,42411,1849948637904797696,7026256584100517184,8320,18176
0,normal,whitefoot,rehash,256,7,64,64,65501,1849948637904797696,2398031619502997424,8320,29696
0,normal,interleaved,rehash,256,7,64,64,48793,1849948637904797696,2398031619502997424,8320,23552
0,normal,split,rehash,256,7,64,64,42542,1849948637904797696,2398031619502997424,8320,18176
0,normal,whitefoot,rehash,256,8,64,64,66125,1849948637904797696,2136864517181178400,8320,29696
0,normal,interleaved,rehash,256,8,64,64,48663,1849948637904797696,2136864517181178400,8320,23552
0,normal,split,rehash,256,8,64,64,42378,1849948637904797696,2136864517181178400,8320,18176
0,normal,whitefoot,rehash,256,9,64,64,65707,1849948637904797696,1818022764526631496,8320,29696
0,normal,interleaved,rehash,256,9,64,64,48459,1849948637904797696,1818022764526631496,8320,23552
0,normal,split,rehash,256,9,64,64,42331,1849948637904797696,1818022764526631496,8320,18176
0,normal,whitefoot,rehash,256,10,64,64,65546,1849948637904797696,14795153613927278256,8320,29696
0,normal,interleaved,rehash,256,10,64,64,48996,1849948637904797696,14795153613927278256,8320,23552
0,normal,split,rehash,256,10,64,64,42752,1849948637904797696,14795153613927278256,8320,18176
0,normal,whitefoot,rehash,256,11,64,64,65456,1849948637904797696,1188486088324579704,8320,29696
0,normal,interleaved,rehash,256,11,64,64,48625,1849948637904797696,1188486088324579704,8320,23552
0,normal,split,rehash,256,11,64,64,42504,1849948637904797696,1188486088324579704,8320,18176
0,normal,whitefoot,rehash,256,12,64,64,65921,1849948637904797696,11172147813737468064,8320,29696
0,normal,interleaved,rehash,256,12,64,64,48168,1849948637904797696,11172147813737468064,8320,23552
0,normal,split,rehash,256,12,64,64,42043,1849948637904797696,11172147813737468064,8320,18176
0,normal,whitefoot,rehash,256,13,64,64,65417,1849948637904797696,15843050885541994000,8320,29696
0,normal,interleaved,rehash,256,13,64,64,48458,1849948637904797696,15843050885541994000,8320,23552
0,normal,split,rehash,256,13,64,64,42665,1849948637904797696,15843050885541994000,8320,18176
0,normal,whitefoot,lookup,4096,0,4,262144,650208,9962801879973888,1837996882287840280,8196,212992
0,normal,interleaved,lookup,4096,0,4,262144,702125,9962801879973888,1837996882287840280,8196,180224
0,normal,split,lookup,4096,0,4,262144,715543,9962801879973888,1837996882287840280,8196,151552
0,normal,whitefoot,lookup,4096,1,4,262144,654916,9962801879973888,17130842932224972264,8196,212992
0,normal,interleaved,lookup,4096,1,4,262144,705084,9962801879973888,17130842932224972264,8196,180224
0,normal,split,lookup,4096,1,4,262144,715167,9962801879973888,17130842932224972264,8196,151552
0,normal,whitefoot,lookup,4096,2,4,262144,647959,9962801879973888,7748136960903208664,8196,212992
0,normal,interleaved,lookup,4096,2,4,262144,705291,9962801879973888,7748136960903208664,8196,180224
0,normal,split,lookup,4096,2,4,262144,715541,9962801879973888,7748136960903208664,8196,151552
0,normal,whitefoot,lookup,4096,3,4,262144,647000,9962801879973888,9072104606401219352,8196,212992
0,normal,interleaved,lookup,4096,3,4,262144,703708,9962801879973888,9072104606401219352,8196,180224
0,normal,split,lookup,4096,3,4,262144,715458,9962801879973888,9072104606401219352,8196,151552
0,normal,whitefoot,lookup,4096,4,4,262144,645792,9962801879973888,13239724372104250040,8196,212992
0,normal,interleaved,lookup,4096,4,4,262144,702167,9962801879973888,13239724372104250040,8196,180224
0,normal,split,lookup,4096,4,4,262144,715458,9962801879973888,13239724372104250040,8196,151552
0,normal,whitefoot,lookup,4096,5,4,262144,648126,9962801879973888,3801496594800721496,8196,212992
0,normal,interleaved,lookup,4096,5,4,262144,706000,9962801879973888,3801496594800721496,8196,180224
0,normal,split,lookup,4096,5,4,262144,715376,9962801879973888,3801496594800721496,8196,151552
0,normal,whitefoot,lookup,4096,6,4,262144,647543,9962801879973888,7352625120983369704,8196,212992
0,normal,interleaved,lookup,4096,6,4,262144,703374,9962801879973888,7352625120983369704,8196,180224
0,normal,split,lookup,4096,6,4,262144,714832,9962801879973888,7352625120983369704,8196,151552
0,normal,whitefoot,lookup,4096,7,4,262144,651418,9962801879973888,17960812127515588248,8196,212992
0,normal,interleaved,lookup,4096,7,4,262144,704291,9962801879973888,17960812127515588248,8196,180224
0,normal,split,lookup,4096,7,4,262144,714416,9962801879973888,17960812127515588248,8196,151552
0,normal,whitefoot,lookup,4096,8,4,262144,647917,9962801879973888,2615156060198523864,8196,212992
0,normal,interleaved,lookup,4096,8,4,262144,703707,9962801879973888,2615156060198523864,8196,180224
0,normal,split,lookup,4096,8,4,262144,714749,9962801879973888,2615156060198523864,8196,151552
0,normal,whitefoot,lookup,4096,9,4,262144,646668,9962801879973888,1726498032405399000,8196,212992
0,normal,interleaved,lookup,4096,9,4,262144,702125,9962801879973888,1726498032405399000,8196,180224
0,normal,split,lookup,4096,9,4,262144,714626,9962801879973888,1726498032405399000,8196,151552
0,normal,whitefoot,lookup,4096,10,4,262144,647458,9962801879973888,4534567279263349320,8196,212992
0,normal,interleaved,lookup,4096,10,4,262144,705209,9962801879973888,4534567279263349320,8196,180224
0,normal,split,lookup,4096,10,4,262144,715041,9962801879973888,4534567279263349320,8196,151552
0,normal,whitefoot,lookup,4096,11,4,262144,649499,9962801879973888,6412549644183669048,8196,212992
0,normal,interleaved,lookup,4096,11,4,262144,706709,9962801879973888,6412549644183669048,8196,180224
0,normal,split,lookup,4096,11,4,262144,715793,9962801879973888,6412549644183669048,8196,151552
0,normal,whitefoot,lookup,4096,12,4,262144,647959,9962801879973888,8054235486273026056,8196,212992
0,normal,interleaved,lookup,4096,12,4,262144,706541,9962801879973888,8054235486273026056,8196,180224
0,normal,split,lookup,4096,12,4,262144,718209,9962801879973888,8054235486273026056,8196,151552
0,normal,whitefoot,lookup,4096,13,4,262144,649085,9962801879973888,12270942348091423640,8196,212992
0,normal,interleaved,lookup,4096,13,4,262144,704875,9962801879973888,12270942348091423640,8196,180224
0,normal,split,lookup,4096,13,4,262144,715624,9962801879973888,12270942348091423640,8196,151552
0,normal,whitefoot,insert,4096,0,4,8192,26708,0,1837996882287840280,8196,212992
0,normal,interleaved,insert,4096,0,4,8192,23251,0,1837996882287840280,8196,180224
0,normal,split,insert,4096,0,4,8192,24958,0,1837996882287840280,8196,151552
0,normal,whitefoot,insert,4096,1,4,8192,26707,0,17130842932224972264,8196,212992
0,normal,interleaved,insert,4096,1,4,8192,23291,0,17130842932224972264,8196,180224
