cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,whitefoot,rehash,256,3,64,64,65710,1849948637904797696,2261161121994670040,8320,29696
0,owning-growth,retained,interleaved,rehash,256,3,64,64,49001,1849948637904797696,2261161121994670040,8320,23552
0,owning-growth,retained,split,rehash,256,3,64,64,43251,1849948637904797696,2261161121994670040,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,4,64,64,65794,1849948637904797696,5701732356075431008,8320,29696
0,owning-growth,retained,interleaved,rehash,256,4,64,64,48999,1849948637904797696,5701732356075431008,8320,23552
0,owning-growth,retained,split,rehash,256,4,64,64,42585,1849948637904797696,5701732356075431008,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,5,64,64,65453,1849948637904797696,6599659187284699208,8320,29696
0,owning-growth,retained,interleaved,rehash,256,5,64,64,48916,1849948637904797696,6599659187284699208,8320,23552
0,owning-growth,retained,split,rehash,256,5,64,64,42420,1849948637904797696,6599659187284699208,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,6,64,64,72084,1849948637904797696,7026256584100517184,8320,29696
0,owning-growth,retained,interleaved,rehash,256,6,64,64,50793,1849948637904797696,7026256584100517184,8320,23552
0,owning-growth,retained,split,rehash,256,6,64,64,44704,1849948637904797696,7026256584100517184,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,7,64,64,70292,1849948637904797696,2398031619502997424,8320,29696
0,owning-growth,retained,interleaved,rehash,256,7,64,64,59204,1849948637904797696,2398031619502997424,8320,23552
0,owning-growth,retained,split,rehash,256,7,64,64,45870,1849948637904797696,2398031619502997424,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,8,64,64,67797,1849948637904797696,2136864517181178400,8320,29696
0,owning-growth,retained,interleaved,rehash,256,8,64,64,50001,1849948637904797696,2136864517181178400,8320,23552
0,owning-growth,retained,split,rehash,256,8,64,64,42878,1849948637904797696,2136864517181178400,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,9,64,64,66041,1849948637904797696,1818022764526631496,8320,29696
0,owning-growth,retained,interleaved,rehash,256,9,64,64,49083,1849948637904797696,1818022764526631496,8320,23552
0,owning-growth,retained,split,rehash,256,9,64,64,43083,1849948637904797696,1818022764526631496,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,10,64,64,65999,1849948637904797696,14795153613927278256,8320,29696
0,owning-growth,retained,interleaved,rehash,256,10,64,64,51829,1849948637904797696,14795153613927278256,8320,23552
0,owning-growth,retained,split,rehash,256,10,64,64,42623,1849948637904797696,14795153613927278256,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,11,64,64,66169,1849948637904797696,1188486088324579704,8320,29696
0,owning-growth,retained,interleaved,rehash,256,11,64,64,50625,1849948637904797696,1188486088324579704,8320,23552
0,owning-growth,retained,split,rehash,256,11,64,64,44539,1849948637904797696,1188486088324579704,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,12,64,64,73956,1849948637904797696,11172147813737468064,8320,29696
0,owning-growth,retained,interleaved,rehash,256,12,64,64,48665,1849948637904797696,11172147813737468064,8320,23552
0,owning-growth,retained,split,rehash,256,12,64,64,43628,1849948637904797696,11172147813737468064,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,13,64,64,65589,1849948637904797696,15843050885541994000,8320,29696
0,owning-growth,retained,interleaved,rehash,256,13,64,64,49208,1849948637904797696,15843050885541994000,8320,23552
0,owning-growth,retained,split,rehash,256,13,64,64,42506,1849948637904797696,15843050885541994000,8320,18176
0,owning-growth,retained,whitefoot,lookup,4096,0,4,262144,752916,9962801879973888,1837996882287840280,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,0,4,262144,708042,9962801879973888,1837996882287840280,8196,180224
0,owning-growth,retained,split,lookup,4096,0,4,262144,716374,9962801879973888,1837996882287840280,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,1,4,262144,754000,9962801879973888,17130842932224972264,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,1,4,262144,706001,9962801879973888,17130842932224972264,8196,180224
0,owning-growth,retained,split,lookup,4096,1,4,262144,717834,9962801879973888,17130842932224972264,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,2,4,262144,749209,9962801879973888,7748136960903208664,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,2,4,262144,712251,9962801879973888,7748136960903208664,8196,180224
0,owning-growth,retained,split,lookup,4096,2,4,262144,716375,9962801879973888,7748136960903208664,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,3,4,262144,772875,9962801879973888,9072104606401219352,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,3,4,262144,704083,9962801879973888,9072104606401219352,8196,180224
0,owning-growth,retained,split,lookup,4096,3,4,262144,718835,9962801879973888,9072104606401219352,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,4,4,262144,768499,9962801879973888,13239724372104250040,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,4,4,262144,703457,9962801879973888,13239724372104250040,8196,180224
0,owning-growth,retained,split,lookup,4096,4,4,262144,718457,9962801879973888,13239724372104250040,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,5,4,262144,756459,9962801879973888,3801496594800721496,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,5,4,262144,715582,9962801879973888,3801496594800721496,8196,180224
0,owning-growth,retained,split,lookup,4096,5,4,262144,717375,9962801879973888,3801496594800721496,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,6,4,262144,752584,9962801879973888,7352625120983369704,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,6,4,262144,709916,9962801879973888,7352625120983369704,8196,180224
0,owning-growth,retained,split,lookup,4096,6,4,262144,719000,9962801879973888,7352625120983369704,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,7,4,262144,752750,9962801879973888,17960812127515588248,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,7,4,262144,707125,9962801879973888,17960812127515588248,8196,180224
0,owning-growth,retained,split,lookup,4096,7,4,262144,724250,9962801879973888,17960812127515588248,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,8,4,262144,749667,9962801879973888,2615156060198523864,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,8,4,262144,714251,9962801879973888,2615156060198523864,8196,180224
0,owning-growth,retained,split,lookup,4096,8,4,262144,725625,9962801879973888,2615156060198523864,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,9,4,262144,748208,9962801879973888,1726498032405399000,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,9,4,262144,712375,9962801879973888,1726498032405399000,8196,180224
0,owning-growth,retained,split,lookup,4096,9,4,262144,717793,9962801879973888,1726498032405399000,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,10,4,262144,749667,9962801879973888,4534567279263349320,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,10,4,262144,706084,9962801879973888,4534567279263349320,8196,180224
0,owning-growth,retained,split,lookup,4096,10,4,262144,718209,9962801879973888,4534567279263349320,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,11,4,262144,753126,9962801879973888,6412549644183669048,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,11,4,262144,704750,9962801879973888,6412549644183669048,8196,180224
0,owning-growth,retained,split,lookup,4096,11,4,262144,719084,9962801879973888,6412549644183669048,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,12,4,262144,750792,9962801879973888,8054235486273026056,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,12,4,262144,705918,9962801879973888,8054235486273026056,8196,180224
0,owning-growth,retained,split,lookup,4096,12,4,262144,716416,9962801879973888,8054235486273026056,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,13,4,262144,749541,9962801879973888,12270942348091423640,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,13,4,262144,704542,9962801879973888,12270942348091423640,8196,180224
0,owning-growth,retained,split,lookup,4096,13,4,262144,716084,9962801879973888,12270942348091423640,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,0,4,8192,26793,0,1837996882287840280,8196,212992
0,owning-growth,retained,interleaved,insert,4096,0,4,8192,23291,0,1837996882287840280,8196,180224
0,owning-growth,retained,split,insert,4096,0,4,8192,24959,0,1837996882287840280,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,1,4,8192,26791,0,17130842932224972264,8196,212992
0,owning-growth,retained,interleaved,insert,4096,1,4,8192,23374,0,17130842932224972264,8196,180224
0,owning-growth,retained,split,insert,4096,1,4,8192,24834,0,17130842932224972264,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,2,4,8192,26791,0,7748136960903208664,8196,212992
0,owning-growth,retained,interleaved,insert,4096,2,4,8192,23290,0,7748136960903208664,8196,180224
0,owning-growth,retained,split,insert,4096,2,4,8192,24668,0,7748136960903208664,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,3,4,8192,27001,0,9072104606401219352,8196,212992
0,owning-growth,retained,interleaved,insert,4096,3,4,8192,23459,0,9072104606401219352,8196,180224
0,owning-growth,retained,split,insert,4096,3,4,8192,24958,0,9072104606401219352,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,4,4,8192,26751,0,13239724372104250040,8196,212992
0,owning-growth,retained,interleaved,insert,4096,4,4,8192,23583,0,13239724372104250040,8196,180224
0,owning-growth,retained,split,insert,4096,4,4,8192,24916,0,13239724372104250040,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,5,4,8192,26791,0,3801496594800721496,8196,212992
0,owning-growth,retained,interleaved,insert,4096,5,4,8192,23209,0,3801496594800721496,8196,180224
0,owning-growth,retained,split,insert,4096,5,4,8192,24751,0,3801496594800721496,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,6,4,8192,26667,0,7352625120983369704,8196,212992
0,owning-growth,retained,interleaved,insert,4096,6,4,8192,23416,0,7352625120983369704,8196,180224
0,owning-growth,retained,split,insert,4096,6,4,8192,24875,0,7352625120983369704,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,7,4,8192,26834,0,17960812127515588248,8196,212992
0,owning-growth,retained,interleaved,insert,4096,7,4,8192,23167,0,17960812127515588248,8196,180224
0,owning-growth,retained,split,insert,4096,7,4,8192,25042,0,17960812127515588248,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,8,4,8192,26793,0,2615156060198523864,8196,212992
0,owning-growth,retained,interleaved,insert,4096,8,4,8192,23251,0,2615156060198523864,8196,180224
0,owning-growth,retained,split,insert,4096,8,4,8192,24750,0,2615156060198523864,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,9,4,8192,26832,0,1726498032405399000,8196,212992
0,owning-growth,retained,interleaved,insert,4096,9,4,8192,23249,0,1726498032405399000,8196,180224
0,owning-growth,retained,split,insert,4096,9,4,8192,24792,0,1726498032405399000,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,10,4,8192,26667,0,4534567279263349320,8196,212992
0,owning-growth,retained,interleaved,insert,4096,10,4,8192,23375,0,4534567279263349320,8196,180224
0,owning-growth,retained,split,insert,4096,10,4,8192,24209,0,4534567279263349320,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,11,4,8192,26875,0,6412549644183669048,8196,212992
0,owning-growth,retained,interleaved,insert,4096,11,4,8192,23250,0,6412549644183669048,8196,180224
0,owning-growth,retained,split,insert,4096,11,4,8192,24499,0,6412549644183669048,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,12,4,8192,26833,0,8054235486273026056,8196,212992
0,owning-growth,retained,interleaved,insert,4096,12,4,8192,23332,0,8054235486273026056,8196,180224
0,owning-growth,retained,split,insert,4096,12,4,8192,24917,0,8054235486273026056,8196,151552
0,owning-growth,retained,whitefoot,insert,4096,13,4,8192,26833,0,12270942348091423640,8196,212992
