cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
1,borrowed,c_heap_boundary,16,3,4096,17528000,7666817075468251504
1,borrowed,whitefoot,16,3,4096,17270000,7666817075468251504
1,borrowed,whitefoot,16,4,4096,17271000,7666817075468251504
1,borrowed,c_heap_boundary,16,4,4096,17487000,7666817075468251504
1,borrowed,c_heap_boundary,16,5,4096,17502000,7666817075468251504
1,borrowed,whitefoot,16,5,4096,17308000,7666817075468251504
1,borrowed,whitefoot,16,6,4096,17395000,7666817075468251504
1,borrowed,c_heap_boundary,16,6,4096,17679000,7666817075468251504
1,retained,whitefoot,1,0,4096,1135000,8241301767429094575
1,retained,c_heap_boundary,1,0,4096,1102000,8241301767429094575
1,retained,c_heap_boundary,1,1,4096,1092000,8241301767429094575
1,retained,whitefoot,1,1,4096,1128000,8241301767429094575
1,retained,whitefoot,1,2,4096,1116000,8241301767429094575
1,retained,c_heap_boundary,1,2,4096,1103000,8241301767429094575
1,retained,c_heap_boundary,1,3,4096,1090000,8241301767429094575
1,retained,whitefoot,1,3,4096,1132000,8241301767429094575
1,retained,whitefoot,1,4,4096,1124000,8241301767429094575
1,retained,c_heap_boundary,1,4,4096,1138000,8241301767429094575
1,retained,c_heap_boundary,1,5,4096,1089000,8241301767429094575
1,retained,whitefoot,1,5,4096,1124000,8241301767429094575
1,retained,whitefoot,1,6,4096,1108000,8241301767429094575
1,retained,c_heap_boundary,1,6,4096,1104000,8241301767429094575
1,retained,whitefoot,16,0,4096,17860000,7666817075468251504
1,retained,c_heap_boundary,16,0,4096,17500000,7666817075468251504
1,retained,c_heap_boundary,16,1,4096,17784000,7666817075468251504
1,retained,whitefoot,16,1,4096,17982000,7666817075468251504
1,retained,whitefoot,16,2,4096,17910000,7666817075468251504
1,retained,c_heap_boundary,16,2,4096,17546000,7666817075468251504
1,retained,c_heap_boundary,16,3,4096,17565000,7666817075468251504
1,retained,whitefoot,16,3,4096,17859000,7666817075468251504
1,retained,whitefoot,16,4,4096,17856000,7666817075468251504
1,retained,c_heap_boundary,16,4,4096,17524000,7666817075468251504
1,retained,c_heap_boundary,16,5,4096,17511000,7666817075468251504
1,retained,whitefoot,16,5,4096,17850000,7666817075468251504
1,retained,whitefoot,16,6,4096,17856000,7666817075468251504
1,retained,c_heap_boundary,16,6,4096,17523000,7666817075468251504
1,normal,whitefoot,1,0,4096,1137000,8241301767429094575
1,normal,c_heap,1,0,4096,1096000,8241301767429094575
1,normal,c_heap,1,1,4096,1087000,8241301767429094575
1,normal,whitefoot,1,1,4096,1131000,8241301767429094575
1,normal,whitefoot,1,2,4096,1130000,8241301767429094575
1,normal,c_heap,1,2,4096,1101000,8241301767429094575
1,normal,c_heap,1,3,4096,1078000,8241301767429094575
1,normal,whitefoot,1,3,4096,1183000,8241301767429094575
1,normal,whitefoot,1,4,4096,1102000,8241301767429094575
1,normal,c_heap,1,4,4096,1099000,8241301767429094575
