cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,whitefoot,rehash,256,12,64,64,65165,1849948637904797696,11172147813737468064,8320,29696
0,owning-growth,retained,interleaved,rehash,256,12,64,64,48419,1849948637904797696,11172147813737468064,8320,23552
0,owning-growth,retained,split,rehash,256,12,64,64,42754,1849948637904797696,11172147813737468064,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,13,64,64,65292,1849948637904797696,15843050885541994000,8320,29696
0,owning-growth,retained,interleaved,rehash,256,13,64,64,51296,1849948637904797696,15843050885541994000,8320,23552
0,owning-growth,retained,split,rehash,256,13,64,64,43079,1849948637904797696,15843050885541994000,8320,18176
0,owning-growth,retained,whitefoot,lookup,4096,0,4,262144,770626,9962801879973888,1837996882287840280,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,0,4,262144,730542,9962801879973888,1837996882287840280,8196,180224
0,owning-growth,retained,split,lookup,4096,0,4,262144,738667,9962801879973888,1837996882287840280,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,1,4,262144,771166,9962801879973888,17130842932224972264,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,1,4,262144,726125,9962801879973888,17130842932224972264,8196,180224
0,owning-growth,retained,split,lookup,4096,1,4,262144,734791,9962801879973888,17130842932224972264,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,2,4,262144,771083,9962801879973888,7748136960903208664,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,2,4,262144,725584,9962801879973888,7748136960903208664,8196,180224
0,owning-growth,retained,split,lookup,4096,2,4,262144,732210,9962801879973888,7748136960903208664,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,3,4,262144,768250,9962801879973888,9072104606401219352,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,3,4,262144,722083,9962801879973888,9072104606401219352,8196,180224
0,owning-growth,retained,split,lookup,4096,3,4,262144,737583,9962801879973888,9072104606401219352,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,4,4,262144,770708,9962801879973888,13239724372104250040,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,4,4,262144,754874,9962801879973888,13239724372104250040,8196,180224
0,owning-growth,retained,split,lookup,4096,4,4,262144,736042,9962801879973888,13239724372104250040,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,5,4,262144,768958,9962801879973888,3801496594800721496,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,5,4,262144,705916,9962801879973888,3801496594800721496,8196,180224
0,owning-growth,retained,split,lookup,4096,5,4,262144,712542,9962801879973888,3801496594800721496,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,6,4,262144,752500,9962801879973888,7352625120983369704,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,6,4,262144,706125,9962801879973888,7352625120983369704,8196,180224
0,owning-growth,retained,split,lookup,4096,6,4,262144,712500,9962801879973888,7352625120983369704,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,7,4,262144,755166,9962801879973888,17960812127515588248,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,7,4,262144,708668,9962801879973888,17960812127515588248,8196,180224
0,owning-growth,retained,split,lookup,4096,7,4,262144,712125,9962801879973888,17960812127515588248,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,8,4,262144,746749,9962801879973888,2615156060198523864,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,8,4,262144,701500,9962801879973888,2615156060198523864,8196,180224
0,owning-growth,retained,split,lookup,4096,8,4,262144,710208,9962801879973888,2615156060198523864,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,9,4,262144,748418,9962801879973888,1726498032405399000,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,9,4,262144,702501,9962801879973888,1726498032405399000,8196,180224
0,owning-growth,retained,split,lookup,4096,9,4,262144,709916,9962801879973888,1726498032405399000,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,10,4,262144,752125,9962801879973888,4534567279263349320,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,10,4,262144,701542,9962801879973888,4534567279263349320,8196,180224
0,owning-growth,retained,split,lookup,4096,10,4,262144,710750,9962801879973888,4534567279263349320,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,11,4,262144,1108709,9962801879973888,6412549644183669048,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,11,4,262144,731293,9962801879973888,6412549644183669048,8196,180224
0,owning-growth,retained,split,lookup,4096,11,4,262144,711249,9962801879973888,6412549644183669048,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,12,4,262144,750124,9962801879973888,8054235486273026056,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,12,4,262144,703083,9962801879973888,8054235486273026056,8196,180224
0,owning-growth,retained,split,lookup,4096,12,4,262144,710625,9962801879973888,8054235486273026056,8196,151552
0,owning-growth,retained,whitefoot,lookup,4096,13,4,262144,751084,9962801879973888,12270942348091423640,8196,212992
0,owning-growth,retained,interleaved,lookup,4096,13,4,262144,702040,9962801879973888,12270942348091423640,8196,180224
