cohort	attempt	pair	order	variant	wall_ms	user_ms	kernel_ms	worker_limit
mixed-par	1	13	0	control.short	171.146	343.750	93.750	3
mixed-par	1	13	1	mixed.default	278.048	250.000	15.625	3
mixed-par	1	13	2	mixed.par	160.343	375.000	46.875	3
mixed-par	1	14	0	mixed.par	158.711	359.375	46.875	3
mixed-par	1	14	1	control.short	171.738	406.250	78.125	3
mixed-par	1	14	2	mixed.default	278.981	265.625	0.000	3
mixed-total	1	0	0	mixed.no-overlap	279.888	187.500	78.125	3
mixed-total	1	0	1	mixed.par	159.273	375.000	62.500	3
mixed-total	1	0	2	control.short	171.079	437.500	46.875	3
mixed-total	1	1	0	control.short	172.567	421.875	46.875	3
mixed-total	1	1	1	mixed.no-overlap	278.786	265.625	31.250	3
mixed-total	1	1	2	mixed.par	158.604	375.000	46.875	3
mixed-total	1	2	0	mixed.par	165.734	359.375	62.500	3
mixed-total	1	2	1	control.short	170.924	421.875	46.875	3
mixed-total	1	2	2	mixed.no-overlap	277.122	265.625	0.000	3
mixed-total	1	3	0	control.short	169.973	437.500	46.875	3
mixed-total	1	3	1	mixed.par	158.513	328.125	93.750	3
mixed-total	1	3	2	mixed.no-overlap	278.956	250.000	15.625	3
mixed-total	1	4	0	mixed.no-overlap	277.649	218.750	62.500	3
mixed-total	1	4	1	control.short	171.777	437.500	31.250	3
mixed-total	1	4	2	mixed.par	158.354	328.125	109.375	3
mixed-total	1	5	0	mixed.par	158.300	328.125	78.125	3
mixed-total	1	5	1	mixed.no-overlap	278.757	203.125	15.625	3
mixed-total	1	5	2	control.short	171.347	343.750	78.125	3
mixed-total	1	6	0	mixed.no-overlap	278.427	234.375	46.875	3
mixed-total	1	6	1	mixed.par	159.366	312.500	93.750	3
mixed-total	1	6	2	control.short	170.966	406.250	46.875	3
mixed-total	1	7	0	control.short	170.772	375.000	93.750	3
mixed-total	1	7	1	mixed.no-overlap	279.556	250.000	15.625	3
mixed-total	1	7	2	mixed.par	157.982	359.375	78.125	3
mixed-total	1	8	0	mixed.par	163.035	359.375	93.750	3
mixed-total	1	8	1	control.short	171.116	406.250	46.875	3
mixed-total	1	8	2	mixed.no-overlap	279.130	234.375	46.875	3
mixed-total	1	9	0	control.short	170.399	375.000	93.750	3
mixed-total	1	9	1	mixed.par	158.556	343.750	78.125	3
mixed-total	1	9	2	mixed.no-overlap	278.154	250.000	15.625	3
mixed-total	1	10	0	mixed.no-overlap	277.406	250.000	15.625	3
mixed-total	1	10	1	control.short	170.642	375.000	78.125	3
mixed-total	1	10	2	mixed.par	163.060	375.000	46.875	3
mixed-total	1	11	0	mixed.par	159.579	375.000	46.875	3
mixed-total	1	11	1	mixed.no-overlap	279.632	234.375	46.875	3
mixed-total	1	11	2	control.short	170.422	375.000	46.875	3
mixed-total	1	12	0	mixed.no-overlap	279.735	265.625	31.250	3
mixed-total	1	12	1	mixed.par	160.322	359.375	62.500	3
mixed-total	1	12	2	control.short	169.702	375.000	78.125	3
mixed-total	1	13	0	control.short	170.782	359.375	93.750	3
mixed-total	1	13	1	mixed.no-overlap	281.193	265.625	0.000	3
mixed-total	1	13	2	mixed.par	158.101	328.125	93.750	3
mixed-total	1	14	0	mixed.par	160.574	390.625	46.875	3
mixed-total	1	14	1	control.short	170.003	437.500	31.250	3
mixed-total	1	14	2	mixed.no-overlap	277.405	218.750	46.875	3
