round	shape	depth	words	reps	impl	threads	seconds	exit	output
16	bal	10	192	2850	wf_par	2	0.402103	0	41f43bcaafe3d6ba
16	bal	10	192	2850	wf_par	4	0.208510	0	41f43bcaafe3d6ba
16	bal	10	192	2850	wf_par	8	0.153787	0	41f43bcaafe3d6ba
16	bal	10	192	2850	wf_par	default	0.140394	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_seq	0	0.602589	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_rayon	2	0.318560	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_rayon	4	0.172929	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_rayon	8	0.158154	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_rayon	default	0.183727	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_cut	2	0.309809	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_cut	4	0.169768	0	41f43bcaafe3d6ba
16	bal	10	192	2850	rs_cut	8	0.141618	0	41f43bcaafe3d6ba
16	bal	12	16	6300	wf_seq	0	0.576248	0	41c980c678512691
16	bal	12	16	6300	wf_par	1	0.615034	0	41c980c678512691
16	bal	12	16	6300	wf_par	2	0.340334	0	41c980c678512691
16	bal	12	16	6300	wf_par	4	0.198290	0	41c980c678512691
16	bal	12	16	6300	wf_par	8	0.180703	0	41c980c678512691
16	bal	12	16	6300	wf_par	default	0.176233	0	41c980c678512691
16	bal	12	16	6300	rs_seq	0	0.576902	0	41c980c678512691
16	bal	12	16	6300	rs_rayon	2	0.375386	0	41c980c678512691
16	bal	12	16	6300	rs_rayon	4	0.223084	0	41c980c678512691
16	bal	12	16	6300	rs_rayon	8	0.265648	0	41c980c678512691
16	bal	12	16	6300	rs_rayon	default	0.363453	0	41c980c678512691
16	bal	12	16	6300	rs_cut	2	0.326703	0	41c980c678512691
16	bal	12	16	6300	rs_cut	4	0.206876	0	41c980c678512691
16	bal	12	16	6300	rs_cut	8	0.163809	0	41c980c678512691
16	bal	12	64	2000	wf_seq	0	0.499054	0	41f7c761152494df
16	bal	12	64	2000	wf_par	1	0.617768	0	41f7c761152494df
16	bal	12	64	2000	wf_par	2	0.328082	0	41f7c761152494df
16	bal	12	64	2000	wf_par	4	0.178760	0	41f7c761152494df
16	bal	12	64	2000	wf_par	8	0.140356	0	41f7c761152494df
16	bal	12	64	2000	wf_par	default	0.136258	0	41f7c761152494df
16	bal	12	64	2000	rs_seq	0	0.536432	0	41f7c761152494df
16	bal	12	64	2000	rs_rayon	2	0.294326	0	41f7c761152494df
16	bal	12	64	2000	rs_rayon	4	0.167506	0	41f7c761152494df
16	bal	12	64	2000	rs_rayon	8	0.151026	0	41f7c761152494df
16	bal	12	64	2000	rs_rayon	default	0.206245	0	41f7c761152494df
16	bal	12	64	2000	rs_cut	2	0.275106	0	41f7c761152494df
16	bal	12	64	2000	rs_cut	4	0.165381	0	41f7c761152494df
16	bal	12	64	2000	rs_cut	8	0.164620	0	41f7c761152494df
16	bal	12	192	700	wf_seq	0	0.606840	0	42143db997dbfda3
16	bal	12	192	700	wf_par	1	0.857699	0	42143db997dbfda3
16	bal	12	192	700	wf_par	2	0.398919	0	42143db997dbfda3
16	bal	12	192	700	wf_par	4	0.203963	0	42143db997dbfda3
16	bal	12	192	700	wf_par	8	0.143566	0	42143db997dbfda3
16	bal	12	192	700	wf_par	default	0.132794	0	42143db997dbfda3
16	bal	12	192	700	rs_seq	0	0.606971	0	42143db997dbfda3
16	bal	12	192	700	rs_rayon	2	0.316994	0	42143db997dbfda3
16	bal	12	192	700	rs_rayon	4	0.165382	0	42143db997dbfda3
16	bal	12	192	700	rs_rayon	8	0.145248	0	42143db997dbfda3
16	bal	12	192	700	rs_rayon	default	0.134208	0	42143db997dbfda3
16	bal	12	192	700	rs_cut	2	0.308472	0	42143db997dbfda3
16	bal	12	192	700	rs_cut	4	0.167054	0	42143db997dbfda3
16	bal	12	192	700	rs_cut	8	0.164076	0	42143db997dbfda3
16	skew	16	16	14000	wf_seq	0	0.680089	0	41b6e2d19d086103
16	skew	16	16	14000	wf_par	1	0.587229	0	41b6e2d19d086103
16	skew	16	16	14000	wf_par	2	0.348996	0	41b6e2d19d086103
16	skew	16	16	14000	wf_par	4	0.202152	0	41b6e2d19d086103
16	skew	16	16	14000	wf_par	8	0.230167	0	41b6e2d19d086103
16	skew	16	16	14000	wf_par	default	0.259290	0	41b6e2d19d086103
16	skew	16	16	14000	rs_seq	0	0.628025	0	41b6e2d19d086103
