comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict
c1-c2	growing-256	23100	3	baseline	9635563	accept
c1-c2	growing-256	23100	4	baseline	9580181	accept
c1-c2	growing-256	23100	4	candidate	9646451	accept
c1-c2	control-256	13902	0	baseline	669159	accept
c1-c2	control-256	13902	0	candidate	683527	accept
c1-c2	control-256	13902	1	candidate	686294	accept
c1-c2	control-256	13902	1	baseline	656074	accept
c1-c2	control-256	13902	2	baseline	660993	accept
c1-c2	control-256	13902	2	candidate	672930	accept
c1-c2	control-256	13902	3	candidate	678382	accept
c1-c2	control-256	13902	3	baseline	647671	accept
c1-c2	control-256	13902	4	baseline	686410	accept
c1-c2	control-256	13902	4	candidate	673090	accept
c1-c2	fixed-4096	124045	0	baseline	285670	accept
c1-c2	fixed-4096	124045	0	candidate	286214	accept
c1-c2	fixed-4096	124045	1	candidate	288919	accept
c1-c2	fixed-4096	124045	1	baseline	285600	accept
c1-c2	fixed-4096	124045	2	baseline	286337	accept
c1-c2	fixed-4096	124045	2	candidate	287012	accept
c1-c2	fixed-4096	124045	3	candidate	288073	accept
c1-c2	fixed-4096	124045	3	baseline	293663	accept
c1-c2	fixed-4096	124045	4	baseline	286192	accept
c1-c2	fixed-4096	124045	4	candidate	288115	accept
c1-c2	real-fixed_run_library	13014	0	baseline	39281027	accept
c1-c2	real-fixed_run_library	13014	0	candidate	34248231	accept
c1-c2	real-fixed_run_library	13014	1	candidate	34339164	accept
c1-c2	real-fixed_run_library	13014	1	baseline	39778580	accept
c1-c2	real-fixed_run_library	13014	2	baseline	39843816	accept
c1-c2	real-fixed_run_library	13014	2	candidate	34405591	accept
c1-c2	real-fixed_run_library	13014	3	candidate	34382974	accept
c1-c2	real-fixed_run_library	13014	3	baseline	39811409	accept
c1-c2	real-fixed_run_library	13014	4	baseline	39767479	accept
c1-c2	real-fixed_run_library	13014	4	candidate	34480679	accept
c1-c2	real-wfgrep	83524	0	baseline	40035591	accept
c1-c2	real-wfgrep	83524	0	candidate	35967876	accept
c1-c2	real-wfgrep	83524	1	candidate	35788282	accept
c1-c2	real-wfgrep	83524	1	baseline	40035914	accept
c1-c2	real-wfgrep	83524	2	baseline	40079901	accept
c1-c2	real-wfgrep	83524	2	candidate	35644945	accept
c1-c2	real-wfgrep	83524	3	candidate	35924714	accept
c1-c2	real-wfgrep	83524	3	baseline	40111406	accept
c1-c2	real-wfgrep	83524	4	baseline	39922563	accept
c1-c2	real-wfgrep	83524	4	candidate	35798648	accept
c1-c2	real-prefix	2909	0	baseline	182651	accept
c1-c2	real-prefix	2909	0	candidate	157279	accept
c1-c2	real-prefix	2909	1	candidate	160744	accept
c1-c2	real-prefix	2909	1	baseline	175162	accept
c1-c2	real-prefix	2909	2	baseline	177196	accept
c1-c2	real-prefix	2909	2	candidate	157615	accept
c1-c2	real-prefix	2909	3	candidate	157301	accept
c1-c2	real-prefix	2909	3	baseline	173163	accept
c1-c2	real-prefix	2909	4	baseline	176933	accept
c1-c2	real-prefix	2909	4	candidate	159723	accept
c1-c2	real-histogram	3676	0	baseline	179223	accept
c1-c2	real-histogram	3676	0	candidate	161818	accept
c1-c2	real-histogram	3676	1	candidate	162160	accept
c1-c2	real-histogram	3676	1	baseline	175804	accept
c1-c2	real-histogram	3676	2	baseline	182170	accept
c1-c2	real-histogram	3676	2	candidate	161962	accept
c1-c2	real-histogram	3676	3	candidate	165975	accept
c1-c2	real-histogram	3676	3	baseline	178315	accept
c1-c2	real-histogram	3676	4	baseline	176299	accept
c1-c2	real-histogram	3676	4	candidate	163222	accept
c1-c2	real-radix_scatter	8989	0	baseline	985208	accept
c1-c2	real-radix_scatter	8989	0	candidate	876145	accept
c1-c2	real-radix_scatter	8989	1	candidate	878906	accept
c1-c2	real-radix_scatter	8989	1	baseline	984061	accept
c1-c2	real-radix_scatter	8989	2	baseline	992158	accept
c1-c2	real-radix_scatter	8989	2	candidate	884245	accept
c1-c2	real-radix_scatter	8989	3	candidate	873510	accept
c1-c2	real-radix_scatter	8989	3	baseline	988630	accept
c1-c2	real-radix_scatter	8989	4	baseline	989731	accept
c1-c2	real-radix_scatter	8989	4	candidate	878553	accept
c2-c3	fixed-16	824	0	baseline	19769	accept
c2-c3	fixed-16	824	0	candidate	17098	accept
c2-c3	fixed-16	824	1	candidate	14116	accept
c2-c3	fixed-16	824	1	baseline	12718	accept
c2-c3	fixed-16	824	2	baseline	12449	accept
c2-c3	fixed-16	824	2	candidate	12645	accept
c2-c3	fixed-16	824	3	candidate	12625	accept
c2-c3	fixed-16	824	3	baseline	12530	accept
c2-c3	fixed-16	824	4	baseline	12364	accept
c2-c3	fixed-16	824	4	candidate	12737	accept
c2-c3	growing-16	1452	0	baseline	17689	accept
c2-c3	growing-16	1452	0	candidate	17629	accept
c2-c3	growing-16	1452	1	candidate	17332	accept
c2-c3	growing-16	1452	1	baseline	18459	accept
c2-c3	growing-16	1452	2	baseline	26426	accept
c2-c3	growing-16	1452	2	candidate	17158	accept
c2-c3	growing-16	1452	3	candidate	17380	accept
c2-c3	growing-16	1452	3	baseline	18747	accept
c2-c3	growing-16	1452	4	baseline	18717	accept
c2-c3	growing-16	1452	4	candidate	16757	accept
c2-c3	control-16	1038	0	baseline	15299	accept
c2-c3	control-16	1038	0	candidate	14844	accept
c2-c3	control-16	1038	1	candidate	14313	accept
c2-c3	control-16	1038	1	baseline	15074	accept
c2-c3	control-16	1038	2	baseline	14604	accept
c2-c3	control-16	1038	2	candidate	14276	accept
c2-c3	control-16	1038	3	candidate	14095	accept
c2-c3	control-16	1038	3	baseline	15548	accept
c2-c3	control-16	1038	4	baseline	14594	accept
c2-c3	control-16	1038	4	candidate	14477	accept
c2-c3	fixed-64	2209	0	baseline	15208	accept
c2-c3	fixed-64	2209	0	candidate	15168	accept
c2-c3	fixed-64	2209	1	candidate	14836	accept
c2-c3	fixed-64	2209	1	baseline	15200	accept
c2-c3	fixed-64	2209	2	baseline	15358	accept
c2-c3	fixed-64	2209	2	candidate	15427	accept
c2-c3	fixed-64	2209	3	candidate	15111	accept
c2-c3	fixed-64	2209	3	baseline	15079	accept
c2-c3	fixed-64	2209	4	baseline	14947	accept
c2-c3	fixed-64	2209	4	candidate	15736	accept
c2-c3	growing-64	5532	0	baseline	181806	accept
c2-c3	growing-64	5532	0	candidate	110865	accept
c2-c3	growing-64	5532	1	candidate	112547	accept
c2-c3	growing-64	5532	1	baseline	184467	accept
c2-c3	growing-64	5532	2	baseline	181819	accept
c2-c3	growing-64	5532	2	candidate	111873	accept
c2-c3	growing-64	5532	3	candidate	112150	accept
c2-c3	growing-64	5532	3	baseline	180523	accept
c2-c3	growing-64	5532	4	baseline	180329	accept
c2-c3	growing-64	5532	4	candidate	112033	accept
c2-c3	control-64	3486	0	baseline	45391	accept
c2-c3	control-64	3486	0	candidate	38697	accept
c2-c3	control-64	3486	1	candidate	38931	accept
c2-c3	control-64	3486	1	baseline	46128	accept
c2-c3	control-64	3486	2	baseline	45263	accept
c2-c3	control-64	3486	2	candidate	36431	accept
c2-c3	control-64	3486	3	candidate	36083	accept
c2-c3	control-64	3486	3	baseline	45194	accept
c2-c3	control-64	3486	4	baseline	44908	accept
c2-c3	control-64	3486	4	candidate	36849	accept
c2-c3	fixed-256	7779	0	baseline	25318	accept
c2-c3	fixed-256	7779	0	candidate	26451	accept
c2-c3	fixed-256	7779	1	candidate	25287	accept
c2-c3	fixed-256	7779	1	baseline	24803	accept
c2-c3	fixed-256	7779	2	baseline	24492	accept
c2-c3	fixed-256	7779	2	candidate	25147	accept
c2-c3	fixed-256	7779	3	candidate	24970	accept
c2-c3	fixed-256	7779	3	baseline	25147	accept
c2-c3	fixed-256	7779	4	baseline	25326	accept
c2-c3	fixed-256	7779	4	candidate	25212	accept
c2-c3	growing-256	23100	0	baseline	9507027	accept
c2-c3	growing-256	23100	0	candidate	5343888	accept
c2-c3	growing-256	23100	1	candidate	5258811	accept
c2-c3	growing-256	23100	1	baseline	9614866	accept
c2-c3	growing-256	23100	2	baseline	9608966	accept
c2-c3	growing-256	23100	2	candidate	5286758	accept
c2-c3	growing-256	23100	3	candidate	5277422	accept
c2-c3	growing-256	23100	3	baseline	9591827	accept
c2-c3	growing-256	23100	4	baseline	9620338	accept
c2-c3	growing-256	23100	4	candidate	5276945	accept
c2-c3	control-256	13902	0	baseline	652562	accept
c2-c3	control-256	13902	0	candidate	514833	accept
c2-c3	control-256	13902	1	candidate	496177	accept
c2-c3	control-256	13902	1	baseline	666673	accept
c2-c3	control-256	13902	2	baseline	663888	accept
c2-c3	control-256	13902	2	candidate	511170	accept
c2-c3	control-256	13902	3	candidate	494040	accept
c2-c3	control-256	13902	3	baseline	632210	accept
c2-c3	control-256	13902	4	baseline	663021	accept
c2-c3	control-256	13902	4	candidate	496365	accept
c2-c3	fixed-4096	124045	0	baseline	284289	accept
c2-c3	fixed-4096	124045	0	candidate	287338	accept
c2-c3	fixed-4096	124045	1	candidate	294839	accept
c2-c3	fixed-4096	124045	1	baseline	285935	accept
c2-c3	fixed-4096	124045	2	baseline	284144	accept
c2-c3	fixed-4096	124045	2	candidate	287286	accept
c2-c3	fixed-4096	124045	3	candidate	287765	accept
c2-c3	fixed-4096	124045	3	baseline	285904	accept
c2-c3	fixed-4096	124045	4	baseline	295743	accept
c2-c3	fixed-4096	124045	4	candidate	286742	accept
c2-c3	real-fixed_run_library	13014	0	baseline	34200196	accept
c2-c3	real-fixed_run_library	13014	0	candidate	30355381	accept
c2-c3	real-fixed_run_library	13014	1	candidate	30289791	accept
c2-c3	real-fixed_run_library	13014	1	baseline	34257905	accept
c2-c3	real-fixed_run_library	13014	2	baseline	34353809	accept
c2-c3	real-fixed_run_library	13014	2	candidate	30261067	accept
c2-c3	real-fixed_run_library	13014	3	candidate	30249896	accept
c2-c3	real-fixed_run_library	13014	3	baseline	34271466	accept
c2-c3	real-fixed_run_library	13014	4	baseline	34447289	accept
c2-c3	real-fixed_run_library	13014	4	candidate	30325837	accept
c2-c3	real-wfgrep	83524	0	baseline	35626108	accept
c2-c3	real-wfgrep	83524	0	candidate	29315604	accept
c2-c3	real-wfgrep	83524	1	candidate	29203245	accept
c2-c3	real-wfgrep	83524	1	baseline	35723262	accept
c2-c3	real-wfgrep	83524	2	baseline	35558801	accept
c2-c3	real-wfgrep	83524	2	candidate	29006106	accept
c2-c3	real-wfgrep	83524	3	candidate	29230599	accept
c2-c3	real-wfgrep	83524	3	baseline	35456502	accept
c2-c3	real-wfgrep	83524	4	baseline	35506183	accept
c2-c3	real-wfgrep	83524	4	candidate	29219897	accept
