comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
hashing	fixed-256	7779	1	baseline	31368	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	2	baseline	31238	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	2	candidate	30757	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	3	candidate	30844	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	3	baseline	31610	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	4	baseline	30931	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	4	candidate	31100	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	growing-256	23100	0	baseline	3233643	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	0	candidate	2396236	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	1	candidate	2412410	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	1	baseline	3284987	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	2	baseline	3240237	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	2	candidate	2377368	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	3	candidate	2392382	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	3	baseline	3241865	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	4	baseline	3234430	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	growing-256	23100	4	candidate	2392347	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	0	baseline	401584	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	0	candidate	273533	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	1	candidate	278790	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	1	baseline	398535	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	2	baseline	396896	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	2	candidate	275185	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
hashing	control-256	13902	3	candidate	276843	accept	f9fc2f7c2922cdccd533410c08bb0be4f709d02e1f4e996b4ecde01592ee5cd1
