fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
control-256	13902	0	baseline	294321	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	0	candidate	298692	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	1	candidate	294405	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	1	baseline	297162	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	2	baseline	298441	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	2	candidate	310149	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	3	candidate	293122	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	3	baseline	293599	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	4	baseline	296309	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
control-256	13902	4	candidate	317649	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
fixed-4096	124045	0	baseline	286123	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	0	candidate	287236	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	1	candidate	289484	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	1	baseline	287411	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	2	baseline	287920	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	2	candidate	287884	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	3	candidate	288357	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
