contract,element_bytes,path,count,run,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_window_c,null_window_normalized,null_tagged_c,null_tagged_normalized,ab_raw,ab_window_c,ab_window_normalized,ab_tagged_c,ab_tagged_normalized,a_wf_window_c,b_wf_window_c,a_wf_tagged_c,b_wf_tagged_c
normal,256,setup-cleanup,16,1,0,1271000,0.00315208630417274,0.0446224256292906,1.04462242562929,1.03354134165367,1.00516944284894,1.04556166535742,0.995848523294843,0.911545089029294,1.00078186082877,0.915700190410248,0.997647058823529,0.918297194364722,1.36015625,1.24375,1.36342412451362,1.24606918238994
normal,256,setup-cleanup,16,1,1,1271000,0.00315208630417274,0.0446224256292906,0.995979322228604,0.998435054773083,0.995782731012921,0.996867658574785,0.997281355253165,0.913093196112064,0.9953125,0.926041897928193,0.993759750390016,0.92016595518342,1.36083269082498,1.24981017463933,1.36052836052836,1.24886191198786
normal,256,setup-cleanup,256,0,0,1204000,0.00332778472217909,0.03,1.00185528756957,0.997522708505368,1.00662918834141,0.996691480562448,1.00434885719302,0.923314780457638,1.00745033112583,0.915219372779626,0.999177631578947,0.923314780457638,1.33885666942833,1.2341824157765,1.3385761589404,1.23697068403909
normal,256,setup-cleanup,256,0,1,1204000,0.00332778472217909,0.03,1.00929944203348,1,1.00413907284768,1.00660066006601,1.00165425971878,0.920123839009288,0.999174236168456,0.921788961651772,1.00082918739635,0.922103766879886,1.33719966859983,1.23344370860927,1.34437086092715,1.23456790123457
normal,256,setup-cleanup,256,1,0,1204000,0.00332778472217909,0.03,0.995076923076923,1.00246103363413,0.991413815754398,1.00083056478405,0.99062618718765,0.922461538461538,1,0.921055500869982,1.00082781456954,0.91941459696373,1.33664185277088,1.23675496688742,1.33168316831683,1.233691164327
normal,256,setup-cleanup,256,1,1,1204000,0.00332778472217909,0.03,0.994464944649446,1,0.990820073439412,1.00331125827815,0.996086597493986,0.897196261682243,0.971428571428571,0.922274306793979,0.995874587458746,0.919561494702069,1.33174603174603,1.23198011599006,1.33645589383294,1.2317562149158
normal,256,setup-cleanup,4096,0,0,1209000,0.00331399938599164,0.03,0.995808383233533,0.996740016299918,1.0026431455518,1,0.996065138899123,0.929268292682927,1,0.934537035752301,1.00162337662338,0.927762185239356,1.33957654723127,1.23642172523962,1.34148329258354,1.2516339869281
normal,256,setup-cleanup,4096,0,1,1209000,0.00331399938599164,0.03,0.982624325943679,0.980142970611596,0.999152691968226,0.972244250594766,1.01383925380602,0.903130537507383,0.978021978021978,0.925974081400323,0.978451715881884,0.92356911463191,1.34065040650406,1.24016393442623,1.35867768595041,1.24629324546952
normal,256,setup-cleanup,4096,1,0,1209000,0.00331399938599164,0.03,1.00182926829268,1.00325998370008,0.999056746061197,1.00657894736842,1.00330871336677,0.927747419550698,0.995944849959449,0.929880516932677,0.995918367346939,0.930068669118568,1.33523654159869,1.24225122349103,1.33932951757972,1.25245901639344
normal,256,setup-cleanup,4096,1,1,1209000,0.00331399938599164,0.03,0.98735701384708,0.992718446601942,0.992135511191773,0.987745098039216,0.99302301364157,0.926695174098962,1.00160128102482,0.927656816888053,0.999184339314845,0.923877895920035,1.33414832925835,1.23634881825591,1.34013050570962,1.24588815789474
