run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,reuse-churn,16,window-c,1,2048,1,93000,5119472793824052981,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,1,2048,1,93000,5119472793824052981,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,1,2048,1,152000,5119472793824052981,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,2,2048,1,98000,8802898575916851479,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,2,2048,1,124000,8802898575916851479,1,528,528
0,normal,0,8,reuse-churn,16,window-c,2,2048,1,92000,8802898575916851479,1,528,528
0,normal,0,8,reuse-churn,16,whitefoot,3,2048,1,124000,13782336606078972485,1,528,528
0,normal,0,8,reuse-churn,16,window-c,3,2048,1,92000,13782336606078972485,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,3,2048,1,92000,13782336606078972485,1,400,400
0,normal,0,8,reuse-churn,16,window-c,4,2048,1,92000,17465762388171770983,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,4,2048,1,91000,17465762388171770983,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,4,2048,1,126000,17465762388171770983,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,5,2048,1,92000,15432277561717826445,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,5,2048,1,124000,15432277561717826445,1,528,528
0,normal,0,8,reuse-churn,16,window-c,5,2048,1,92000,15432277561717826445,1,528,528
0,normal,0,8,reuse-churn,16,whitefoot,6,2048,1,124000,668959270101073327,1,528,528
0,normal,0,8,reuse-churn,16,window-c,6,2048,1,93000,668959270101073327,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,6,2048,1,95000,668959270101073327,1,400,400
0,normal,0,8,reuse-churn,16,window-c,7,2048,1,94000,10069295660740614861,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,7,2048,1,93000,10069295660740614861,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,7,2048,1,124000,10069295660740614861,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,8,2048,1,91000,13752721442833413359,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,8,2048,1,123000,13752721442833413359,1,528,528
0,normal,0,8,reuse-churn,16,window-c,8,2048,1,91000,13752721442833413359,1,528,528
0,normal,0,8,reuse-churn,16,whitefoot,9,2048,1,124000,11719236616379468821,1,528,528
0,normal,0,8,reuse-churn,16,window-c,9,2048,1,96000,11719236616379468821,1,528,528
