config	impl	threads	n	min	median	max	spread_pct
bal_d12_w192	rs_seq	0	18	0.6039	0.7899	1.0077	66.9
bal_d12_w192	rs_rayon	2	18	0.3157	0.3986	0.5464	73.1
bal_d12_w192	rs_rayon	4	18	0.1638	0.2555	0.3641	122.3
bal_d12_w192	rs_rayon	8	18	0.1354	0.1852	0.3486	157.4
bal_d12_w192	rs_cut	2	18	0.3313	0.4487	0.6042	82.4
bal_d12_w192	rs_cut	4	18	0.2063	0.2743	0.3840	86.1
bal_d12_w192	rs_cut	8	18	0.1719	0.2194	0.3350	94.9
skew_d16_w16	wf_seq	0	18	0.7385	0.8789	1.1429	54.8
skew_d16_w16	wf_par	1	18	0.5751	0.6841	1.0419	81.2
skew_d16_w16	wf_par	2	18	0.9839	1.1392	1.8830	91.4
skew_d16_w16	wf_par	4	18	1.9230	2.3408	3.8741	101.5
skew_d16_w16	wf_par	8	18	3.0986	3.7227	4.8496	56.5
skew_d16_w16	rs_seq	0	18	0.6964	0.7600	1.1134	59.9
skew_d16_w16	rs_rayon	2	18	0.4433	0.5303	1.0208	130.3
skew_d16_w16	rs_rayon	4	18	0.3420	0.4857	0.8126	137.6
skew_d16_w16	rs_rayon	8	18	0.4704	0.5255	1.0164	116.1
skew_d16_w16	rs_cut	2	18	0.3940	0.5211	1.4687	272.7
skew_d16_w16	rs_cut	4	18	0.2871	0.3749	0.9177	219.7
skew_d16_w16	rs_cut	8	18	0.3714	0.4471	0.6820	83.6
skew_d16_w64	wf_seq	0	18	0.6842	0.8515	1.1820	72.8
skew_d16_w64	wf_par	1	18	0.5347	0.6328	1.0048	87.9
skew_d16_w64	wf_par	2	18	0.4536	0.5386	1.4532	220.4
skew_d16_w64	wf_par	4	18	0.6983	0.7924	1.8740	168.4
skew_d16_w64	wf_par	8	18	0.8527	1.2628	1.9387	127.4
skew_d16_w64	rs_seq	0	18	0.5599	0.6997	1.1099	98.2
skew_d16_w64	rs_rayon	2	18	0.3202	0.3950	0.9983	211.7
skew_d16_w64	rs_rayon	4	18	0.2024	0.3015	0.6317	212.1
skew_d16_w64	rs_rayon	8	18	0.2124	0.2993	0.6341	198.6
skew_d16_w64	rs_cut	2	18	0.3018	0.4322	0.6646	120.3
skew_d16_w64	rs_cut	4	18	0.2286	0.2942	0.6235	172.8
skew_d16_w64	rs_cut	8	18	0.3123	0.3360	0.5751	84.1
skew_d16_w192	wf_seq	0	18	0.8683	1.0630	1.5265	75.8
skew_d16_w192	wf_par	1	18	0.6254	0.7309	1.3139	110.1
skew_d16_w192	wf_par	2	18	0.5114	0.6086	1.4264	178.9
skew_d16_w192	wf_par	4	18	0.5140	0.5962	1.3549	163.6
skew_d16_w192	wf_par	8	18	0.4992	0.6952	1.2611	152.6
skew_d16_w192	rs_seq	0	18	0.6177	0.7777	1.1343	83.6
skew_d16_w192	rs_rayon	2	18	0.3217	0.4096	0.6654	106.8
skew_d16_w192	rs_rayon	4	18	0.1725	0.2807	1.1564	570.5
skew_d16_w192	rs_rayon	8	18	0.1517	0.2149	0.9717	540.5
skew_d16_w192	rs_cut	2	18	0.3599	0.4844	1.0552	193.2
skew_d16_w192	rs_cut	4	18	0.2254	0.3165	0.6581	192.0
skew_d16_w192	rs_cut	8	18	0.2822	0.3254	0.4905	73.8
