runtime	kernel	workers	k	n	tile	seed	pass	calls	core_mean_ns	core_min_ns	core_max_ns	cycle_mean_ns	cycle_min_ns	cycle_max_ns
recovered	wf	4	3	4097	65536	108659	0	256	14052.406	8342	28893	31239.902	20671	64055
shared	wf	0	3	4097	65536	108659	0	256	9681.070	8292	28162	18824.371	16314	55753
shared	wf	2	3	4097	65536	108659	0	256	10982.918	8292	27952	21302.914	16304	44516
shared	wf	4	3	4097	65536	108659	0	256	12289.539	8322	79138	23432.344	16345	87550
weak	direct	0	3	4097	65536	108659	0	256	7583.504	7521	14542	9276.082	9174	16334
weak	lanes4	0	3	4097	65536	108659	0	256	3902.395	2213	89423	6103.367	3876	93119
recovered	wf	4	3	4097	65536	108659	1	256	16008.363	13540	30276	34370.289	29794	53730
recovered	wf	2	3	4097	65536	108659	1	256	9955.102	8313	47741	23514.027	20610	65768
recovered	wf	0	3	4097	65536	108659	1	256	9759.512	8303	32288	23123.844	20610	48843
weak	wf	0	3	4097	65536	108659	1	256	9443.250	8292	27071	21797.504	19159	50655
shared	wf	4	3	4097	4096	108659	1	256	12490.410	8413	85657	33350.762	25869	103584
shared	wf	2	3	4097	4096	108659	1	256	10613.605	8393	67245	28616.961	19329	90720
shared	wf	0	3	4097	4096	108659	1	256	11919.430	8402	35353	26361.348	19319	75743
recovered	wf	4	3	4097	4096	108659	1	256	11109.039	8353	39368	36760.582	31377	158125
recovered	wf	2	3	4097	4096	108659	1	256	8973.367	8453	33099	32222.277	31026	56003
recovered	wf	0	3	4097	4096	108659	1	256	9515.156	8373	30065	25576.531	22874	75903
weak	wf	0	3	4097	4096	108659	1	256	8589.020	8342	27230	21271.406	20000	60159
shared	wf	4	3	4097	257	108659	1	256	13132.867	10165	71236	52977.855	31677	110554
shared	wf	2	3	4097	257	108659	1	256	15803.156	9044	59879	50608.562	32098	103194
shared	wf	0	3	4097	257	108659	1	256	10306.773	9485	24156	34791.062	30906	69774
recovered	wf	4	3	4097	257	108659	1	256	8982.051	6940	75572	55170.812	48893	166207
recovered	wf	2	3	4097	257	108659	1	256	9966.070	9534	25087	55316.855	50615	73239
recovered	wf	0	3	4097	257	108659	1	256	11295.426	9744	44797	37568.148	33920	83845
weak	wf	0	3	4097	257	108659	1	256	10400.953	9724	31787	33752.539	32098	62683
weak	lanes16	0	3	4097	65536	108659	1	256	1481.637	1031	5628	3391.297	2694	23585
weak	lanes8	0	3	4097	65536	108659	1	256	1361.746	1332	2644	3085.273	2984	7211
weak	lanes4	0	3	4097	65536	108659	1	256	3404.734	2214	29274	5232.137	3886	31176
weak	direct	0	3	4097	65536	108659	1	256	7834.238	7521	61522	9612.238	9154	63314
shared	wf	4	3	4097	65536	108659	1	256	9917.555	8302	24156	19280.016	16325	45237
shared	wf	2	3	4097	65536	108659	1	256	16288.312	8293	136353	29970.535	16315	149964
shared	wf	0	3	4097	65536	108659	1	256	12514.434	8432	33369	24646.984	16464	101927
weak	wf	0	3	4097	257	108659	2	256	13295.484	9744	44216	43039.906	32328	91606
recovered	wf	0	3	4097	257	108659	2	256	10190.844	9734	34742	35120.488	33871	66329
recovered	wf	2	3	4097	257	108659	2	256	10099.207	9574	39729	53513.227	49634	83525
recovered	wf	4	3	4097	257	108659	2	256	9097.914	7712	48883	55408.555	50565	193387
shared	wf	0	3	4097	257	108659	2	256	10733.180	9464	31006	35126.348	30856	102072
shared	wf	2	3	4097	257	108659	2	256	16602.809	10225	39479	56629.816	49149	84576
shared	wf	4	3	4097	257	108659	2	256	12921.754	10416	41352	53114.648	48802	113669
