tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,miss,c_box,measure,8,1048576,0,1.905441284,3774817245553408877,0,0,0,4608,4096,4096,0.001998000
L1,8,512,0.500,miss,d_folded,measure,8,1048576,0,1.634597778,3774817245553408877,0,0,0,8704,0,4096,0.001714000
L1,8,512,0.500,miss,e_proved,measure,8,1048576,0,1.601219177,3774817245553408877,0,0,0,12800,0,4096,0.001679000
L1,8,512,0.500,miss,a_raw,measure,9,1048576,0,1.800537109,4016745674725997500,0,0,0,8704,0,4096,0.001888000
L1,8,512,0.500,miss,e_proved,measure,9,1048576,0,1.598358154,4016745674725997500,0,0,0,12800,0,4096,0.001676000
L1,8,512,0.500,miss,d_folded,measure,9,1048576,0,1.596450806,4016745674725997500,0,0,0,8704,0,4096,0.001674000
L1,8,512,0.500,miss,c_box,measure,9,1048576,0,1.811981201,4016745674725997500,0,0,0,4608,4096,4096,0.001900000
L1,8,512,0.500,miss,b_tag,measure,9,1048576,0,1.814842224,4016745674725997500,0,0,0,12800,0,4096,0.001903000
L1,8,512,0.500,miss,c_box,measure,10,1048576,0,1.797676086,15923203627879530961,0,0,0,4608,4096,4096,0.001885000
L1,8,512,0.500,miss,d_folded,measure,10,1048576,0,1.599311829,15923203627879530961,0,0,0,8704,0,4096,0.001677000
L1,8,512,0.500,miss,e_proved,measure,10,1048576,0,1.624107361,15923203627879530961,0,0,0,12800,0,4096,0.001703000
L1,8,512,0.500,miss,a_raw,measure,10,1048576,0,1.795768738,15923203627879530961,0,0,0,8704,0,4096,0.001883000
L1,8,512,0.500,miss,b_tag,measure,10,1048576,0,1.858711243,15923203627879530961,0,0,0,12800,0,4096,0.001949000
L1,8,512,0.500,miss,c_box,measure,11,1048576,0,1.853942871,2692132535155015209,0,0,0,4608,4096,4096,0.001944000
L1,8,512,0.500,miss,b_tag,measure,11,1048576,0,1.861572266,2692132535155015209,0,0,0,12800,0,4096,0.001952000
L1,8,512,0.500,miss,a_raw,measure,11,1048576,0,1.863479614,2692132535155015209,0,0,0,8704,0,4096,0.001954000
L1,8,512,0.500,miss,e_proved,measure,11,1048576,0,1.652717590,2692132535155015209,0,0,0,12800,0,4096,0.001733000
L1,8,512,0.500,miss,d_folded,measure,11,1048576,0,1.618385315,2692132535155015209,0,0,0,8704,0,4096,0.001697000
L1,8,512,0.500,mix,a_raw,warmup,0,1048576,0,1.745223999,6507562668616701413,0,0,0,8704,0,4096,0.001830000
L1,8,512,0.500,mix,b_tag,warmup,0,1048576,0,1.730918884,6507562668616701413,0,0,0,12800,0,4096,0.001815000
L1,8,512,0.500,mix,c_box,warmup,0,1048576,0,1.665115356,6507562668616701413,0,0,0,4608,4096,4096,0.001746000
L1,8,512,0.500,mix,d_folded,warmup,0,1048576,0,1.809120178,6507562668616701413,0,0,0,8704,0,4096,0.001897000
L1,8,512,0.500,mix,e_proved,warmup,0,1048576,0,1.719474792,6507562668616701413,0,0,0,12800,0,4096,0.001803000
L1,8,512,0.500,mix,a_raw,warmup,1,1048576,0,1.794815063,15496797596279489674,0,0,0,8704,0,4096,0.001882000
L1,8,512,0.500,mix,e_proved,warmup,1,1048576,0,1.830101013,15496797596279489674,0,0,2,12800,0,4096,0.001919000
L1,8,512,0.500,mix,d_folded,warmup,1,1048576,0,1.810073853,15496797596279489674,0,0,0,8704,0,4096,0.001898000
L1,8,512,0.500,mix,c_box,warmup,1,1048576,0,1.778602600,15496797596279489674,0,0,1,4608,4096,4096,0.001865000
L1,8,512,0.500,mix,b_tag,warmup,1,1048576,0,1.742362976,15496797596279489674,0,0,0,12800,0,4096,0.001827000
L1,8,512,0.500,mix,c_box,measure,0,1048576,0,1.674652100,1337227365413222640,0,0,0,4608,4096,4096,0.001756000
