tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,hit,e_proved,measure,9,1048576,0,1.744906425,10751689303962627004,0,0,0,12800,0,4096,0.001829667
L1,8,512,0.500,hit,d_folded,measure,9,1048576,0,1.794019699,10751689303962627004,0,0,0,8704,0,4096,0.001881166
L1,8,512,0.500,hit,c_box,measure,9,1048576,0,1.638134956,10751689303962627004,0,0,0,4608,4096,4096,0.001717709
L1,8,512,0.500,hit,b_tag,measure,9,1048576,0,1.789450645,10751689303962627004,0,0,0,12800,0,4096,0.001876375
L1,8,512,0.500,hit,c_box,measure,10,1048576,0,1.639723778,9111171034393252305,0,0,0,4608,4096,4096,0.001719375
L1,8,512,0.500,hit,d_folded,measure,10,1048576,0,1.791913986,9111171034393252305,0,0,0,8704,0,4096,0.001878958
L1,8,512,0.500,hit,e_proved,measure,10,1048576,0,1.751303673,9111171034393252305,0,0,0,12800,0,4096,0.001836375
L1,8,512,0.500,hit,a_raw,measure,10,1048576,0,1.804272652,9111171034393252305,0,0,0,8704,0,4096,0.001891917
L1,8,512,0.500,hit,b_tag,measure,10,1048576,0,1.760840416,9111171034393252305,0,0,0,12800,0,4096,0.001846375
L1,8,512,0.500,hit,c_box,measure,11,1048576,0,1.650770187,9788455984019123753,0,0,0,4608,4096,4096,0.001730958
L1,8,512,0.500,hit,b_tag,measure,11,1048576,0,1.768986702,9788455984019123753,0,0,0,12800,0,4096,0.001854917
L1,8,512,0.500,hit,a_raw,measure,11,1048576,0,1.806457520,9788455984019123753,0,0,0,8704,0,4096,0.001894208
L1,8,512,0.500,hit,e_proved,measure,11,1048576,0,1.751343727,9788455984019123753,0,0,0,12800,0,4096,0.001836417
L1,8,512,0.500,hit,d_folded,measure,11,1048576,0,1.789569855,9788455984019123753,0,0,0,8704,0,4096,0.001876500
L1,8,512,0.500,miss,a_raw,warmup,0,1048576,0,1.818856239,6238072747940578789,0,0,0,8704,0,4096,0.001907209
L1,8,512,0.500,miss,b_tag,warmup,0,1048576,0,1.804670334,6238072747940578789,0,0,0,12800,0,4096,0.001892334
L1,8,512,0.500,miss,c_box,warmup,0,1048576,0,1.809755325,6238072747940578789,0,0,0,4608,4096,4096,0.001897666
L1,8,512,0.500,miss,d_folded,warmup,0,1048576,0,1.599748611,6238072747940578789,0,0,0,8704,0,4096,0.001677458
L1,8,512,0.500,miss,e_proved,warmup,0,1048576,0,1.614849091,6238072747940578789,0,0,0,12800,0,4096,0.001693292
L1,8,512,0.500,miss,a_raw,warmup,1,1048576,0,1.909573555,15839785061582574730,0,0,1,8704,0,4096,0.002002333
L1,8,512,0.500,miss,e_proved,warmup,1,1048576,0,1.598238945,15839785061582574730,0,0,0,12800,0,4096,0.001675875
L1,8,512,0.500,miss,d_folded,warmup,1,1048576,0,1.612345695,15839785061582574730,0,0,0,8704,0,4096,0.001690667
L1,8,512,0.500,miss,c_box,warmup,1,1048576,0,1.806695938,15839785061582574730,0,0,0,4608,4096,4096,0.001894458
L1,8,512,0.500,miss,b_tag,warmup,1,1048576,0,1.800577164,15839785061582574730,0,0,0,12800,0,4096,0.001888042
L1,8,512,0.500,miss,c_box,measure,0,1048576,0,1.803080559,2185194620014831856,0,0,0,4608,4096,4096,0.001890667
L1,8,512,0.500,miss,d_folded,measure,0,1048576,0,1.740017891,2185194620014831856,0,0,3,8704,0,4096,0.001824541
L1,8,512,0.500,miss,e_proved,measure,0,1048576,0,1.705089569,2185194620014831856,0,0,0,12800,0,4096,0.001787916
