study,replay,contract,payload_bytes,policy,path,count,cohort,material_band,classification,null_raw_median,null_raw_min,null_raw_max,null_normalized_median,null_normalized_min,null_normalized_max,null_swap_median,null_swap_min,null_swap_max,null_hole_median,null_hole_min,null_hole_max,ab_raw_median,ab_raw_min,ab_raw_max,ab_normalized_median,ab_normalized_min,ab_normalized_max,ab_swap_median,ab_swap_min,ab_swap_max,ab_hole_median,ab_hole_min,ab_hole_max,a_wf_swap_median,a_wf_swap_min,a_wf_swap_max,b_wf_swap_median,b_wf_swap_min,b_wf_swap_max,a_wf_hole_median,a_wf_hole_min,a_wf_hole_max,b_wf_hole_median,b_wf_hole_min,b_wf_hole_max,a_wf_median_ns,b_wf_median_ns
plain,repeat,retained,8,plain,pop-push,16,0,0.030000000,ambiguous,1.012919897,0.971867008,1.069948187,1.005006460,0.931677019,1.029724570,1.003921569,0.988372093,1.043137255,1.000000000,0.988372093,1.070588235,0.979220779,0.961439589,1.002604167,0.969773300,0.964556962,0.998687744,1.000000000,0.992217899,1.027450980,1.000000000,1.000000000,1.003921569,1.513618677,1.505882353,1.549019608,1.486486486,1.465648855,1.503906250,1.517647059,1.505882353,1.556862745,1.494117647,1.460937500,1.509803922,387000,381000
plain,repeat,retained,8,plain,pop-push,16,1,0.030000000,ambiguous,1.000000000,0.972151899,1.042666667,1.000000000,0.968383868,1.039264896,1.000000000,0.969696970,1.003937008,1.000000000,0.969696970,1.007874016,1.002564103,0.955000000,1.018567639,0.990951391,0.962346154,1.018567639,1.000000000,0.992366412,1.011718750,1.000000000,0.977011494,1.003906250,1.517647059,1.478431373,1.529411765,1.498039216,1.469230769,1.527343750,1.517647059,1.466926070,1.532567050,1.498039216,1.482352941,1.533333333,387000,382000
plain,repeat,retained,8,plain,pop-push,256,0,0.056485356,equivalent,1.049813200,1.007371007,1.074754902,0.985760812,0.909216386,1.063512696,1.050420168,1.010570825,1.116182573,1.056485356,1.038135593,1.076433121,1.002450980,0.993909866,1.035443038,1.007952779,0.975765467,1.035443038,1.000000000,0.971252567,1.018595041,1.000000000,0.973140496,1.010570825,1.681434599,1.670190275,1.725158562,1.718816068,1.655172414,1.729386892,1.688559322,1.677282378,1.737288136,1.732484076,1.700636943,1.736730361,816000,816000
plain,repeat,retained,8,plain,pop-push,256,1,0.056485356,equivalent,1.000000000,0.963636364,1.027742749,0.990065825,0.960071603,1.014218615,1.019027484,0.979296066,1.038054968,1.002123142,0.989583333,1.053078556,1.008588957,0.998756219,1.030264817,1.010177537,0.960176687,1.112512849,0.993697479,0.926070039,1.050420168,1.000000000,0.991578947,1.006369427,1.685534591,1.542801556,1.718487395,1.697674419,1.644000000,1.734736842,1.694915254,1.677282378,1.726694915,1.730932203,1.672995781,1.745762712,802000,818000
plain,repeat,retained,8,plain,pop-push,4096,0,0.034569983,equivalent,1.018505338,0.988787666,1.056576047,1.002634903,0.961966580,1.015306122,1.023316062,0.996655518,1.058774139,1.020000000,0.996494303,1.064317181,1.013343217,0.997792494,1.392592593,1.001693325,0.955256032,1.288983704,1.004321521,0.998272884,1.090909091,1.024263432,0.993031359,1.039404553,1.172173913,1.163934426,1.183232498,1.176419966,1.119841270,1.504000000,1.180227472,1.173310225,1.200877193,1.193739425,1.165387894,1.583824768,1350000,1367000
plain,repeat,retained,8,plain,pop-push,4096,1,0.034569983,equivalent,0.962169879,0.944947735,1.014630578,0.995607581,0.964265236,1.028625482,0.979966611,0.945081967,1.019031142,0.965430017,0.939094650,1.004355401,1.000000000,0.953277545,1.002971768,1.000250957,0.980290728,1.015232325,0.998271392,0.938974776,1.008695652,1.000874126,0.978540773,1.020175439,1.170434783,1.166802278,1.194805195,1.169270833,1.163793103,1.184575390,1.185476815,1.157939914,1.253496503,1.181578947,1.160791058,1.193886463,1350000,1350000
plain,repeat,retained,8,plain,replace-top,16,0,0.054794521,equivalent,1.013513514,0.962025316,1.054054054,1.004451510,0.791926606,1.039109698,1.000000000,0.965116279,1.313253012,1.022727273,0.871287129,1.034482759,1.027027027,1.000000000,1.123287671,1.012195122,0.968002485,1.059464508,1.024390244,0.987951807,1.060975610,1.022988506,0.988636364,1.186046512,0.902439024,0.879518072,0.913580247,0.904761905,0.873563218,0.931818182,0.850574713,0.839080460,0.860465116,0.853932584,0.745098039,0.911111111,74000,76000
plain,repeat,retained,8,plain,replace-top,16,1,0.054794521,equivalent,0.973333333,0.960526316,1.051948052,0.996101365,0.951229621,0.997366255,0.975903614,0.964285714,1.105882353,0.977777778,0.966292135,1.021978022,1.000000000,0.986486486,1.000000000,1.000000000,0.954022989,1.000000000,1.000000000,1.000000000,1.048192771,1.000000000,0.988372093,1.011494253,0.891566265,0.890243902,0.913580247,0.891566265,0.850574713,0.901234568,0.848837209,0.839080460,0.860465116,0.848837209,0.829545455,0.858823529,73000,73000
plain,repeat,retained,8,plain,replace-top,256,0,0.036231884,equivalent,1.026315789,1.017699115,1.053097345,0.990209790,0.988412810,1.030530973,1.036231884,1.021897810,1.036764706,1.021126761,1.013986014,1.035211268,1.000000000,0.991150442,1.017857143,1.000000000,0.983968193,1.010586735,1.000000000,0.992700730,1.007299270,0.992957746,0.986013986,1.000000000,0.823529412,0.805755396,0.838235294,0.823529412,0.811594203,0.830882353,0.788732394,0.777777778,0.802816901,0.798611111,0.794326241,0.802816901,113000,113000
plain,repeat,retained,8,plain,replace-top,256,1,0.036231884,equivalent,0.957627119,0.933884298,0.982608696,0.985384426,0.964467312,1.029965593,0.971428571,0.945578231,0.992907801,0.965753425,0.953333333,0.973333333,1.008849558,1.000000000,1.034782609,1.008849558,0.985507246,1.036231884,1.007299270,0.965034965,1.022058824,1.000000000,0.992857143,1.007142857,0.823529412,0.790209790,0.838235294,0.826086957,0.811594203,0.862318841,0.800000000,0.790209790,0.808510638,0.808510638,0.795774648,0.838028169,113000,114000
plain,repeat,retained,8,plain,replace-top,4096,0,0.032886724,equivalent,1.034700315,1.008000000,1.054313099,1.005283990,0.982763425,1.023379707,1.030226700,1.007575758,1.042038217,1.025220681,0.996235885,1.027500000,0.978328173,0.969040248,1.020900322,1.012543185,0.992687539,1.033752114,0.968484848,0.938300349,1.003811944,0.967113276,0.958033573,0.996254682,0.790343075,0.775320140,0.796504370,0.798988622,0.783479349,0.803797468,0.786845311,0.763190184,0.798561151,0.791979950,0.788413098,0.808510638,646000,632000
plain,repeat,retained,8,plain,replace-top,4096,1,0.032886724,equivalent,1.006006006,0.934017595,1.082670906,0.999958437,0.959832093,1.026960865,1.011111111,0.963218391,1.077215190,1.014510278,0.984337349,1.105395232,0.996805112,0.922503726,1.008103728,1.001168959,0.959776604,1.008103728,1.000000000,0.961165049,1.003792668,0.996240602,0.955421687,1.003783102,0.791770574,0.786989796,0.814320388,0.789937107,0.781565657,0.798488665,0.791979950,0.777777778,0.808433735,0.789340102,0.780580076,0.797484277,631000,626000
plain,repeat,retained,8,plain,setup-cleanup,16,0,0.080000000,equivalent,1.000000000,0.961538462,1.038461538,0.982829670,0.980029586,1.019607843,1.000000000,0.981132075,1.056603774,1.000000000,0.962962963,1.037037037,0.980769231,0.961538462,1.000000000,0.999274311,0.929149798,1.038461538,0.981481481,0.962962963,1.055555556,0.981481481,0.962962963,1.000000000,0.962962963,0.962962963,0.981481481,0.962264151,0.894736842,1.000000000,0.962962963,0.962962963,0.981481481,0.962264151,0.943396226,0.981132075,52000,51000
plain,repeat,retained,8,plain,setup-cleanup,16,1,0.080000000,equivalent,0.980392157,0.962264151,1.039215686,0.980392157,0.961894192,1.039615385,1.000000000,0.981132075,1.019230769,0.981132075,0.981132075,1.019230769,1.020000000,1.000000000,1.060000000,1.019970951,0.981132075,1.040370370,1.000000000,0.981132075,1.019230769,1.019230769,0.981132075,1.038461538,0.943396226,0.943396226,0.980769231,0.962264151,0.961538462,0.981481481,0.961538462,0.943396226,0.980769231,0.962264151,0.943396226,1.000000000,50000,51000
