target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-arm64	fir	4096-16	1	old	5	1.0034	1.0015	1.0080	1.0038	1.0000	-1
linux-arm64	fir	4096-16	1	research-off	5	1.0159	1.0154	1.0169	1.0162	1.0000	1
linux-arm64	fir	4096-16	1	replica	5	0.9997	0.9978	1.0015	1.0002	1.0000	-1
linux-arm64	fir	4096-64	1	old	5	1.0160	1.0153	1.0196	1.0169	0.9935	1
linux-arm64	fir	4096-64	1	research-off	5	1.0097	1.0067	1.0103	1.0092	1.0000	1
linux-arm64	fir	4096-64	1	replica	5	1.0002	0.9993	1.0028	1.0002	0.9951	1
linux-arm64	fir	4096-1024	1	old	5	1.0181	0.9852	1.0225	1.0180	1.0000	2
linux-arm64	fir	4096-1024	1	research-off	5	1.0039	0.9715	1.0065	1.0048	1.0000	0
linux-arm64	fir	4096-1024	1	replica	5	1.0017	0.9646	1.0107	1.0007	0.9935	1
linux-arm64	fir	65536-16	1	old	5	1.0014	0.9986	1.0059	1.0023	1.0030	-2
linux-arm64	fir	65536-16	1	research-off	5	0.9961	0.9958	0.9986	0.9967	1.0000	-1
linux-arm64	fir	65536-16	1	replica	5	0.9994	0.9947	1.0013	1.0005	1.0000	1
linux-arm64	fir	65536-64	1	old	5	0.9965	0.9956	1.0013	0.9976	1.0000	-1
linux-arm64	fir	65536-64	1	research-off	5	0.9990	0.9978	1.0093	0.9984	1.0000	-2
linux-arm64	fir	65536-64	1	replica	5	1.0018	0.9986	1.0051	1.0005	1.0000	0
linux-arm64	fir	65536-1024	1	old	5	1.0167	1.0147	1.0220	1.0180	1.0000	0
linux-arm64	fir	65536-1024	1	research-off	5	1.0011	0.9980	1.0038	1.0009	1.0000	1
linux-arm64	fir	65536-1024	1	replica	5	0.9987	0.9970	1.0039	0.9992	1.0000	0
linux-arm64	mandelbrot	0-4096	1	old	5	0.9875	0.9394	1.0052	0.9961	1.0000	0
linux-arm64	mandelbrot	0-4096	1	research-off	5	0.9948	0.9500	1.0810	0.9964	1.0000	0
