trial,contract,element_bytes,path,capacity,count,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_c,null_normalized,ab_raw,ab_c,ab_normalized,a_wf_c,b_wf_c,null_staged,ab_staged,a_wf_staged,b_wf_staged
initial,normal,256,rehash,4096,3584,1,948000,0.00422832509486426,0.03,0.996766370250606,0.999013806706114,0.997144425729299,0.878125,0.989561586638831,0.891200719532304,1.24501424501424,1.1199207135778,0.99825479930192,0.975020145044319,1.03947368421053,0.929644268774704
initial,normal,256,setup-cleanup,4096,3584,0,315000,0.0127794231003286,0.0332640332640333,1.03326403326403,1.03715170278638,1.00065582867737,0.837837837837838,0.984520123839009,0.843107258201598,1.51104100946372,1.26729559748428,,,,
initial,normal,256,setup-cleanup,4096,3584,1,315000,0.0127794231003286,0.0332640332640333,1.00207468879668,1.00625,0.997842545012356,0.84,1,0.837104581785433,1.50595238095238,1.27051671732523,,,,
initial,normal,256,replace,64,56,0,248000,0.0162598960809062,0.03,0.987179487179487,0.99236641221374,0.99812734082397,1.09073724007561,1,1.0883304847449,2.08627450980392,2.27058823529412,,,,
initial,normal,256,replace,64,56,1,248000,0.0162598960809062,0.03,0.998116760828625,0.996,1.00212169432447,1.09193245778612,1.0078125,1.07544057772891,2.08203125,2.26171875,,,,
initial,normal,256,churn,64,56,0,445000,0.00902929956984,0.03,0.998449612403101,0.995319812792512,0.998914175630709,0.991484184914842,1,0.993098116781814,1.28615863141524,1.287284144427,,,,
initial,normal,256,churn,64,56,1,445000,0.00902929956984,0.03,1.00630914826498,1,1.00630914826498,0.992175273865415,1,0.9899898657732,1.29457364341085,1.30141287284144,,,,
initial,normal,256,hit,64,56,0,32000,0.133194588969823,0.133194588969823,1,1,1,0.959183673469388,1,0.96969696969697,1.05714285714286,1,,,,
initial,normal,256,hit,64,56,1,32000,0.133194588969823,0.133194588969823,1,1,1,0.973684210526316,1,0.970588235294118,1.08571428571429,1,,,,
initial,normal,256,edit-first-word,64,56,0,32000,0.133194588969823,0.133194588969823,1.0188679245283,1,0.997641509433962,0.974358974358974,1,0.964539007092199,1.12244897959184,1.10416666666667,,,,
initial,normal,256,edit-first-word,64,56,1,32000,0.133194588969823,0.133194588969823,1.01851851851852,1,0.984615384615385,1,1,1,1.11428571428571,1.1063829787234,,,,
initial,retained,8,grow,4096,3584,0,320000,0.0125784927427994,0.03,0.991549295774648,1,0.991549295774648,0.997191011235955,1.01215805471125,0.982671902990216,1.08588957055215,1.06906906906907,0.984415584415584,1,0.905128205128205,0.918635170603675
initial,retained,8,grow,4096,3584,1,320000,0.0125784927427994,0.03,0.991477272727273,0.976470588235294,1.00355489548607,0.948648648648649,0.976539589442815,0.978490993706446,1.0922619047619,1.07361963190184,0.987405541561713,0.967336683417085,0.919395465994962,0.908376963350785
