cohort,contract,path,variant,sample,calls,rounds,elapsed_ns,checksum,requests,peak_bytes
0,retained,reserved,whitefoot,6,64,512,11493000,10533551068836340384,98304,768
0,retained,reserved,matched-c,6,64,512,7116000,10533551068836340384,98304,768
0,retained,reserved,legacy-c,6,64,512,8614000,10533551068836340384,98304,768
0,retained,reserved,matched-c,7,64,512,7236000,14988359872474358496,98304,768
0,retained,reserved,legacy-c,7,64,512,8878000,14988359872474358496,98304,768
0,retained,reserved,whitefoot,7,64,512,11471000,14988359872474358496,98304,768
0,retained,reserved,legacy-c,8,64,512,8760000,996424602402824992,98304,768
0,retained,reserved,whitefoot,8,64,512,11624000,996424602402824992,98304,768
0,retained,reserved,matched-c,8,64,512,7185000,996424602402824992,98304,768
0,retained,reserved,whitefoot,9,64,512,11612000,5451233406040843104,98304,768
0,retained,reserved,matched-c,9,64,512,7146000,5451233406040843104,98304,768
0,retained,reserved,legacy-c,9,64,512,8812000,5451233406040843104,98304,768
0,retained,reserved,matched-c,10,64,512,7110000,9906042209678861216,98304,768
0,retained,reserved,legacy-c,10,64,512,8750000,9906042209678861216,98304,768
0,retained,reserved,whitefoot,10,64,512,11609000,9906042209678861216,98304,768
0,retained,reserved,legacy-c,11,64,512,8681000,14360851013316879328,98304,768
0,retained,reserved,whitefoot,11,64,512,11563000,14360851013316879328,98304,768
0,retained,reserved,matched-c,11,64,512,7242000,14360851013316879328,98304,768
0,retained,reserved,whitefoot,12,64,512,11672000,368915743245345824,98304,768
0,retained,reserved,matched-c,12,64,512,7197000,368915743245345824,98304,768
0,retained,reserved,legacy-c,12,64,512,8576000,368915743245345824,98304,768
0,retained,reserved,matched-c,13,64,512,7223000,4823724546883363936,98304,768
0,retained,reserved,legacy-c,13,64,512,9010000,4823724546883363936,98304,768
0,retained,reserved,whitefoot,13,64,512,11627000,4823724546883363936,98304,768
0,retained,reserved,legacy-c,14,64,512,8619000,9278533350521382048,98304,768
0,retained,reserved,whitefoot,14,64,512,11502000,9278533350521382048,98304,768
0,retained,reserved,matched-c,14,64,512,7268000,9278533350521382048,98304,768
0,retained,growth,whitefoot,0,64,512,17345000,2251442320717783328,262144,768
0,retained,growth,matched-c,0,64,512,10963000,2251442320717783328,262144,768
0,retained,growth,legacy-c,0,64,512,12859000,2251442320717783328,262144,768
0,retained,growth,matched-c,1,64,512,10635000,6706251124355801440,262144,768
