run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,source-c,5,0,1,371000,10480987938455170014,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,whitefoot,5,0,1,343000,10480987938455170014,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,8,whitefoot,0,1024,1,60000,2544613827570477983,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,source-c,0,1024,1,91000,2544613827570477983,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,direct-c,0,1024,1,49000,2544613827570477983,1,376,1,376
initial,aa,0,a,baseline,normal,16,hit-miss,8,avl-c,0,1024,1,41000,2544613827570477983,8,320,8,320
initial,aa,0,a,baseline,normal,16,hit-miss,8,avl-c,1,1024,1,41000,5030790690630568545,8,320,8,320
initial,aa,0,a,baseline,normal,16,hit-miss,8,direct-c,1,1024,1,48000,5030790690630568545,1,376,1,376
initial,aa,0,a,baseline,normal,16,hit-miss,8,source-c,1,1024,1,89000,5030790690630568545,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,whitefoot,1,1024,1,60000,5030790690630568545,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,whitefoot,2,1024,1,61000,14621056810497255299,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,source-c,2,1024,1,91000,14621056810497255299,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,direct-c,2,1024,1,49000,14621056810497255299,1,376,1,376
initial,aa,0,a,baseline,normal,16,hit-miss,8,avl-c,2,1024,1,42000,14621056810497255299,8,320,8,320
initial,aa,0,a,baseline,normal,16,hit-miss,8,avl-c,3,1024,1,42000,2299884205089144646,8,320,8,320
initial,aa,0,a,baseline,normal,16,hit-miss,8,direct-c,3,1024,1,50000,2299884205089144646,1,376,1,376
initial,aa,0,a,baseline,normal,16,hit-miss,8,source-c,3,1024,1,94000,2299884205089144646,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,whitefoot,3,1024,1,62000,2299884205089144646,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,whitefoot,4,1024,1,62000,9429020719255536417,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,source-c,4,1024,1,90000,9429020719255536417,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,direct-c,4,1024,1,49000,9429020719255536417,1,376,1,376
initial,aa,0,a,baseline,normal,16,hit-miss,8,avl-c,4,1024,1,41000,9429020719255536417,8,320,8,320
initial,aa,0,a,baseline,normal,16,hit-miss,8,avl-c,5,1024,1,41000,13383183502616440262,8,320,8,320
initial,aa,0,a,baseline,normal,16,hit-miss,8,direct-c,5,1024,1,49000,13383183502616440262,1,376,1,376
initial,aa,0,a,baseline,normal,16,hit-miss,8,source-c,5,1024,1,90000,13383183502616440262,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,8,whitefoot,5,1024,1,59000,13383183502616440262,1,504,1,504
initial,aa,0,a,baseline,normal,16,hit-miss,256,whitefoot,0,32,1,208000,9057260274343556623,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,source-c,0,32,1,264000,9057260274343556623,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,direct-c,0,32,1,195000,9057260274343556623,31,11656,31,11656
initial,aa,0,a,baseline,normal,16,hit-miss,256,avl-c,0,32,1,117000,9057260274343556623,256,10240,256,10240
initial,aa,0,a,baseline,normal,16,hit-miss,256,avl-c,1,32,1,113000,16672421336423087069,256,10240,256,10240
