contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
normal,16,hit-miss,8,source-c,4,1024,1,84000,9429020719255536417,1,504,1,504
normal,16,hit-miss,8,direct-c,4,1024,1,48000,9429020719255536417,1,376,1,376
normal,16,hit-miss,8,avl-c,4,1024,1,39000,9429020719255536417,8,320,8,320
normal,16,hit-miss,8,avl-c,5,1024,1,40000,13383183502616440262,8,320,8,320
normal,16,hit-miss,8,direct-c,5,1024,1,55000,13383183502616440262,1,376,1,376
normal,16,hit-miss,8,source-c,5,1024,1,83000,13383183502616440262,1,504,1,504
normal,16,hit-miss,8,whitefoot,5,1024,1,56000,13383183502616440262,1,504,1,504
normal,16,hit-miss,256,whitefoot,0,32,1,217000,9057260274343556623,31,15624,31,15624
normal,16,hit-miss,256,source-c,0,32,1,295000,9057260274343556623,31,15624,31,15624
normal,16,hit-miss,256,direct-c,0,32,1,188000,9057260274343556623,31,11656,31,11656
normal,16,hit-miss,256,avl-c,0,32,1,113000,9057260274343556623,256,10240,256,10240
normal,16,hit-miss,256,avl-c,1,32,1,107000,16672421336423087069,256,10240,256,10240
normal,16,hit-miss,256,direct-c,1,32,1,136000,16672421336423087069,31,11656,31,11656
normal,16,hit-miss,256,source-c,1,32,1,245000,16672421336423087069,31,15624,31,15624
normal,16,hit-miss,256,whitefoot,1,32,1,190000,16672421336423087069,31,15624,31,15624
normal,16,hit-miss,256,whitefoot,2,32,1,166000,3362186162026956220,31,15624,31,15624
normal,16,hit-miss,256,source-c,2,32,1,247000,3362186162026956220,31,15624,31,15624
normal,16,hit-miss,256,direct-c,2,32,1,154000,3362186162026956220,31,11656,31,11656
normal,16,hit-miss,256,avl-c,2,32,1,109000,3362186162026956220,256,10240,256,10240
normal,16,hit-miss,256,avl-c,3,32,1,106000,11550719305246486032,256,10240,256,10240
normal,16,hit-miss,256,direct-c,3,32,1,135000,11550719305246486032,31,11656,31,11656
normal,16,hit-miss,256,source-c,3,32,1,250000,11550719305246486032,31,15624,31,15624
normal,16,hit-miss,256,whitefoot,3,32,1,188000,11550719305246486032,31,15624,31,15624
normal,16,hit-miss,256,whitefoot,4,32,1,165000,15444582779029288436,31,15624,31,15624
normal,16,hit-miss,256,source-c,4,32,1,243000,15444582779029288436,31,15624,31,15624
normal,16,hit-miss,256,direct-c,4,32,1,151000,15444582779029288436,31,11656,31,11656
normal,16,hit-miss,256,avl-c,4,32,1,109000,15444582779029288436,256,10240,256,10240
normal,16,hit-miss,256,avl-c,5,32,1,109000,1232392432011326836,256,10240,256,10240
normal,16,hit-miss,256,direct-c,5,32,1,135000,1232392432011326836,31,11656,31,11656
normal,16,hit-miss,256,source-c,5,32,1,243000,1232392432011326836,31,15624,31,15624
normal,16,hit-miss,256,whitefoot,5,32,1,189000,1232392432011326836,31,15624,31,15624
normal,16,hit-miss,4096,whitefoot,0,2,1,924000,8497386473953290234,363,182952,363,182952
normal,16,hit-miss,4096,source-c,0,2,1,990000,8497386473953290234,363,182952,363,182952
normal,16,hit-miss,4096,direct-c,0,2,1,828000,8497386473953290234,365,137240,365,137240
normal,16,hit-miss,4096,avl-c,0,2,1,487000,8497386473953290234,4096,163840,4096,163840
normal,16,hit-miss,4096,avl-c,1,2,1,480000,6620817307054579695,4096,163840,4096,163840
normal,16,hit-miss,4096,direct-c,1,2,1,839000,6620817307054579695,365,137240,365,137240
normal,16,hit-miss,4096,source-c,1,2,1,988000,6620817307054579695,363,182952,363,182952
normal,16,hit-miss,4096,whitefoot,1,2,1,911000,6620817307054579695,363,182952,363,182952
normal,16,hit-miss,4096,whitefoot,2,2,1,883000,14584893733163510546,363,182952,363,182952
normal,16,hit-miss,4096,source-c,2,2,1,988000,14584893733163510546,363,182952,363,182952
normal,16,hit-miss,4096,direct-c,2,2,1,826000,14584893733163510546,365,137240,365,137240
normal,16,hit-miss,4096,avl-c,2,2,1,489000,14584893733163510546,4096,163840,4096,163840
normal,16,hit-miss,4096,avl-c,3,2,1,479000,14542621158675777415,4096,163840,4096,163840
normal,16,hit-miss,4096,direct-c,3,2,1,806000,14542621158675777415,365,137240,365,137240
normal,16,hit-miss,4096,source-c,3,2,1,988000,14542621158675777415,363,182952,363,182952
normal,16,hit-miss,4096,whitefoot,3,2,1,899000,14542621158675777415,363,182952,363,182952
normal,16,hit-miss,4096,whitefoot,4,2,1,885000,3411412128828879223,363,182952,363,182952
normal,16,hit-miss,4096,source-c,4,2,1,989000,3411412128828879223,363,182952,363,182952
normal,16,hit-miss,4096,direct-c,4,2,1,825000,3411412128828879223,365,137240,365,137240
normal,16,hit-miss,4096,avl-c,4,2,1,487000,3411412128828879223,4096,163840,4096,163840
normal,16,hit-miss,4096,avl-c,5,2,1,477000,2911758924518004104,4096,163840,4096,163840
normal,16,hit-miss,4096,direct-c,5,2,1,805000,2911758924518004104,365,137240,365,137240
normal,16,hit-miss,4096,source-c,5,2,1,986000,2911758924518004104,363,182952,363,182952
normal,16,hit-miss,4096,whitefoot,5,2,1,902000,2911758924518004104,363,182952,363,182952
normal,16,replace-edit-remove-insert,8,whitefoot,0,1024,1,277000,14151578214610147557,1,504,1,504
normal,16,replace-edit-remove-insert,8,source-c,0,1024,1,276000,14151578214610147557,1,504,1,504
normal,16,replace-edit-remove-insert,8,direct-c,0,1024,1,213000,14151578214610147557,1,376,1,376
normal,16,replace-edit-remove-insert,8,avl-c,0,1024,1,344000,14151578214610147557,8200,328000,8,320
normal,16,replace-edit-remove-insert,8,avl-c,1,1024,1,342000,17255007329733447000,8200,328000,8,320
normal,16,replace-edit-remove-insert,8,direct-c,1,1024,1,211000,17255007329733447000,1,376,1,376
normal,16,replace-edit-remove-insert,8,source-c,1,1024,1,269000,17255007329733447000,1,504,1,504
normal,16,replace-edit-remove-insert,8,whitefoot,1,1024,1,274000,17255007329733447000,1,504,1,504
normal,16,replace-edit-remove-insert,8,whitefoot,2,1024,1,275000,15347459984823657788,1,504,1,504
normal,16,replace-edit-remove-insert,8,source-c,2,1024,1,263000,15347459984823657788,1,504,1,504
normal,16,replace-edit-remove-insert,8,direct-c,2,1024,1,207000,15347459984823657788,1,376,1,376
normal,16,replace-edit-remove-insert,8,avl-c,2,1024,1,343000,15347459984823657788,8200,328000,8,320
normal,16,replace-edit-remove-insert,8,avl-c,3,1024,1,347000,2893900076149919541,8200,328000,8,320
normal,16,replace-edit-remove-insert,8,direct-c,3,1024,1,215000,2893900076149919541,1,376,1,376
normal,16,replace-edit-remove-insert,8,source-c,3,1024,1,265000,2893900076149919541,1,504,1,504
normal,16,replace-edit-remove-insert,8,whitefoot,3,1024,1,274000,2893900076149919541,1,504,1,504
normal,16,replace-edit-remove-insert,8,whitefoot,4,1024,1,274000,5867564153249226782,1,504,1,504
normal,16,replace-edit-remove-insert,8,source-c,4,1024,1,263000,5867564153249226782,1,504,1,504
normal,16,replace-edit-remove-insert,8,direct-c,4,1024,1,208000,5867564153249226782,1,376,1,376
normal,16,replace-edit-remove-insert,8,avl-c,4,1024,1,345000,5867564153249226782,8200,328000,8,320
normal,16,replace-edit-remove-insert,8,avl-c,5,1024,1,342000,2941353795540808426,8200,328000,8,320
normal,16,replace-edit-remove-insert,8,direct-c,5,1024,1,207000,2941353795540808426,1,376,1,376
normal,16,replace-edit-remove-insert,8,source-c,5,1024,1,263000,2941353795540808426,1,504,1,504
normal,16,replace-edit-remove-insert,8,whitefoot,5,1024,1,274000,2941353795540808426,1,504,1,504
normal,16,replace-edit-remove-insert,256,whitefoot,0,32,1,1012000,15045687812456274234,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,source-c,0,32,1,1074000,15045687812456274234,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,direct-c,0,32,1,763000,15045687812456274234,93,34968,33,12408
normal,16,replace-edit-remove-insert,256,avl-c,0,32,1,1011000,15045687812456274234,8448,337920,256,10240
normal,16,replace-edit-remove-insert,256,avl-c,1,32,1,907000,9593112806538463411,8448,337920,256,10240
normal,16,replace-edit-remove-insert,256,direct-c,1,32,1,720000,9593112806538463411,93,34968,33,12408
normal,16,replace-edit-remove-insert,256,source-c,1,32,1,1023000,9593112806538463411,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,whitefoot,1,32,1,1004000,9593112806538463411,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,whitefoot,2,32,1,952000,6821874709816505565,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,source-c,2,32,1,1031000,6821874709816505565,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,direct-c,2,32,1,753000,6821874709816505565,93,34968,33,12408
normal,16,replace-edit-remove-insert,256,avl-c,2,32,1,965000,6821874709816505565,8448,337920,256,10240
normal,16,replace-edit-remove-insert,256,avl-c,3,32,1,906000,11996525847546410767,8448,337920,256,10240
normal,16,replace-edit-remove-insert,256,direct-c,3,32,1,714000,11996525847546410767,93,34968,33,12408
normal,16,replace-edit-remove-insert,256,source-c,3,32,1,995000,11996525847546410767,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,whitefoot,3,32,1,992000,11996525847546410767,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,whitefoot,4,32,1,953000,8314424461268026747,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,source-c,4,32,1,1039000,8314424461268026747,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,direct-c,4,32,1,765000,8314424461268026747,93,34968,33,12408
normal,16,replace-edit-remove-insert,256,avl-c,4,32,1,1001000,8314424461268026747,8448,337920,256,10240
normal,16,replace-edit-remove-insert,256,avl-c,5,32,1,926000,11994638494413553215,8448,337920,256,10240
normal,16,replace-edit-remove-insert,256,direct-c,5,32,1,709000,11994638494413553215,93,34968,33,12408
normal,16,replace-edit-remove-insert,256,source-c,5,32,1,990000,11994638494413553215,36,18144,33,16632
normal,16,replace-edit-remove-insert,256,whitefoot,5,32,1,992000,11994638494413553215,36,18144,33,16632
normal,16,replace-edit-remove-insert,4096,whitefoot,0,2,1,1749000,2274382621178134555,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,source-c,0,2,1,1821000,2274382621178134555,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,direct-c,0,2,1,1742000,2274382621178134555,366,137616,366,137616
normal,16,replace-edit-remove-insert,4096,avl-c,0,2,1,1709000,2274382621178134555,12288,491520,4096,163840
normal,16,replace-edit-remove-insert,4096,avl-c,1,2,1,1649000,150295215286734920,12288,491520,4096,163840
normal,16,replace-edit-remove-insert,4096,direct-c,1,2,1,1743000,150295215286734920,366,137616,366,137616
normal,16,replace-edit-remove-insert,4096,source-c,1,2,1,1824000,150295215286734920,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,whitefoot,1,2,1,1727000,150295215286734920,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,whitefoot,2,2,1,1722000,9200959192876770169,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,source-c,2,2,1,1849000,9200959192876770169,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,direct-c,2,2,1,1742000,9200959192876770169,366,137616,366,137616
normal,16,replace-edit-remove-insert,4096,avl-c,2,2,1,1661000,9200959192876770169,12288,491520,4096,163840
normal,16,replace-edit-remove-insert,4096,avl-c,3,2,1,1646000,16180990349953641121,12288,491520,4096,163840
normal,16,replace-edit-remove-insert,4096,direct-c,3,2,1,1744000,16180990349953641121,366,137616,366,137616
normal,16,replace-edit-remove-insert,4096,source-c,3,2,1,1821000,16180990349953641121,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,whitefoot,3,2,1,1725000,16180990349953641121,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,whitefoot,4,2,1,1734000,10761409014595480978,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,source-c,4,2,1,1802000,10761409014595480978,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,direct-c,4,2,1,1745000,10761409014595480978,366,137616,366,137616
normal,16,replace-edit-remove-insert,4096,avl-c,4,2,1,1682000,10761409014595480978,12288,491520,4096,163840
normal,16,replace-edit-remove-insert,4096,avl-c,5,2,1,1682000,1366123243507223787,12288,491520,4096,163840
normal,16,replace-edit-remove-insert,4096,direct-c,5,2,1,1746000,1366123243507223787,366,137616,366,137616
normal,16,replace-edit-remove-insert,4096,source-c,5,2,1,1826000,1366123243507223787,563,283752,562,283248
normal,16,replace-edit-remove-insert,4096,whitefoot,5,2,1,1740000,1366123243507223787,563,283752,562,283248
normal,16,range-16,8,whitefoot,0,1024,1,102000,14373097849899288419,1,504,1,504
normal,16,range-16,8,source-c,0,1024,1,104000,14373097849899288419,1,504,1,504
normal,16,range-16,8,direct-c,0,1024,1,62000,14373097849899288419,1,376,1,376
normal,16,range-16,8,avl-c,0,1024,1,108000,14373097849899288419,8,320,8,320
normal,16,range-16,8,avl-c,1,1024,1,107000,5946793111106473632,8,320,8,320
normal,16,range-16,8,direct-c,1,1024,1,60000,5946793111106473632,1,376,1,376
normal,16,range-16,8,source-c,1,1024,1,102000,5946793111106473632,1,504,1,504
normal,16,range-16,8,whitefoot,1,1024,1,102000,5946793111106473632,1,504,1,504
normal,16,range-16,8,whitefoot,2,1024,1,101000,16798191499598812238,1,504,1,504
normal,16,range-16,8,source-c,2,1024,1,101000,16798191499598812238,1,504,1,504
normal,16,range-16,8,direct-c,2,1024,1,61000,16798191499598812238,1,376,1,376
normal,16,range-16,8,avl-c,2,1024,1,107000,16798191499598812238,8,320,8,320
normal,16,range-16,8,avl-c,3,1024,1,107000,7734443969576337440,8,320,8,320
normal,16,range-16,8,direct-c,3,1024,1,61000,7734443969576337440,1,376,1,376
normal,16,range-16,8,source-c,3,1024,1,101000,7734443969576337440,1,504,1,504
normal,16,range-16,8,whitefoot,3,1024,1,102000,7734443969576337440,1,504,1,504
normal,16,range-16,8,whitefoot,4,1024,1,101000,12354346044592000594,1,504,1,504
normal,16,range-16,8,source-c,4,1024,1,101000,12354346044592000594,1,504,1,504
normal,16,range-16,8,direct-c,4,1024,1,60000,12354346044592000594,1,376,1,376
normal,16,range-16,8,avl-c,4,1024,1,107000,12354346044592000594,8,320,8,320
normal,16,range-16,8,avl-c,5,1024,1,107000,1765581937612882402,8,320,8,320
normal,16,range-16,8,direct-c,5,1024,1,60000,1765581937612882402,1,376,1,376
normal,16,range-16,8,source-c,5,1024,1,102000,1765581937612882402,1,504,1,504
normal,16,range-16,8,whitefoot,5,1024,1,101000,1765581937612882402,1,504,1,504
normal,16,range-16,256,whitefoot,0,32,1,463000,5886594890128043757,31,15624,31,15624
normal,16,range-16,256,source-c,0,32,1,481000,5886594890128043757,31,15624,31,15624
normal,16,range-16,256,direct-c,0,32,1,269000,5886594890128043757,31,11656,31,11656
normal,16,range-16,256,avl-c,0,32,1,440000,5886594890128043757,256,10240,256,10240
normal,16,range-16,256,avl-c,1,32,1,414000,487400964393738081,256,10240,256,10240
normal,16,range-16,256,direct-c,1,32,1,241000,487400964393738081,31,11656,31,11656
normal,16,range-16,256,source-c,1,32,1,474000,487400964393738081,31,15624,31,15624
normal,16,range-16,256,whitefoot,1,32,1,456000,487400964393738081,31,15624,31,15624
normal,16,range-16,256,whitefoot,2,32,1,431000,8538146502123074220,31,15624,31,15624
normal,16,range-16,256,source-c,2,32,1,458000,8538146502123074220,31,15624,31,15624
normal,16,range-16,256,direct-c,2,32,1,250000,8538146502123074220,31,11656,31,11656
normal,16,range-16,256,avl-c,2,32,1,432000,8538146502123074220,256,10240,256,10240
normal,16,range-16,256,avl-c,3,32,1,412000,13361189700901591740,256,10240,256,10240
normal,16,range-16,256,direct-c,3,32,1,238000,13361189700901591740,31,11656,31,11656
normal,16,range-16,256,source-c,3,32,1,471000,13361189700901591740,31,15624,31,15624
normal,16,range-16,256,whitefoot,3,32,1,454000,13361189700901591740,31,15624,31,15624
normal,16,range-16,256,whitefoot,4,32,1,433000,18093435535915223019,31,15624,31,15624
normal,16,range-16,256,source-c,4,32,1,467000,18093435535915223019,31,15624,31,15624
normal,16,range-16,256,direct-c,4,32,1,245000,18093435535915223019,31,11656,31,11656
normal,16,range-16,256,avl-c,4,32,1,428000,18093435535915223019,256,10240,256,10240
normal,16,range-16,256,avl-c,5,32,1,410000,9589100527317024956,256,10240,256,10240
normal,16,range-16,256,direct-c,5,32,1,238000,9589100527317024956,31,11656,31,11656
normal,16,range-16,256,source-c,5,32,1,455000,9589100527317024956,31,15624,31,15624
normal,16,range-16,256,whitefoot,5,32,1,449000,9589100527317024956,31,15624,31,15624
normal,16,range-16,4096,whitefoot,0,2,1,932000,10485235315489360735,363,182952,363,182952
normal,16,range-16,4096,source-c,0,2,1,953000,10485235315489360735,363,182952,363,182952
normal,16,range-16,4096,direct-c,0,2,1,762000,10485235315489360735,365,137240,365,137240
normal,16,range-16,4096,avl-c,0,2,1,1066000,10485235315489360735,4096,163840,4096,163840
normal,16,range-16,4096,avl-c,1,2,1,1074000,3257590277228744031,4096,163840,4096,163840
normal,16,range-16,4096,direct-c,1,2,1,735000,3257590277228744031,365,137240,365,137240
normal,16,range-16,4096,source-c,1,2,1,971000,3257590277228744031,363,182952,363,182952
normal,16,range-16,4096,whitefoot,1,2,1,944000,3257590277228744031,363,182952,363,182952
normal,16,range-16,4096,whitefoot,2,2,1,922000,1087355454241210500,363,182952,363,182952
normal,16,range-16,4096,source-c,2,2,1,949000,1087355454241210500,363,182952,363,182952
normal,16,range-16,4096,direct-c,2,2,1,743000,1087355454241210500,365,137240,365,137240
normal,16,range-16,4096,avl-c,2,2,1,1063000,1087355454241210500,4096,163840,4096,163840
normal,16,range-16,4096,avl-c,3,2,1,1074000,8379714773258569284,4096,163840,4096,163840
normal,16,range-16,4096,direct-c,3,2,1,733000,8379714773258569284,365,137240,365,137240
normal,16,range-16,4096,source-c,3,2,1,947000,8379714773258569284,363,182952,363,182952
normal,16,range-16,4096,whitefoot,3,2,1,928000,8379714773258569284,363,182952,363,182952
normal,16,range-16,4096,whitefoot,4,2,1,925000,12143043846494035490,363,182952,363,182952
normal,16,range-16,4096,source-c,4,2,1,947000,12143043846494035490,363,182952,363,182952
normal,16,range-16,4096,direct-c,4,2,1,738000,12143043846494035490,365,137240,365,137240
