bundle	round	compiler	seconds	exit	llvm_sha256	sources_identical
tests/programs/compute/mandelbrot.wf	4	base	0.034278	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	4	candidate	0.037316	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/merge_sort.wf	0	base	0.090342	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	0	candidate	0.072979	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	1	candidate	0.077773	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	1	base	0.118145	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	2	base	0.073545	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	2	candidate	0.075518	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	3	candidate	0.075524	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	3	base	0.096930	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	4	base	0.080850	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/merge_sort.wf	4	candidate	0.075507	0	765f23b5047ea1083954e1372a9e717a2e5ba25e859c561b009d2347cf343ce3	True
tests/programs/compute/prefix.wf	0	base	0.048858	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	0	candidate	0.050566	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
