fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
fixed-256	7747	2	baseline	45710	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	2	candidate	45300	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	3	candidate	51281	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	3	baseline	46929	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	4	baseline	45193	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	4	candidate	47756	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-256	21044	0	baseline	4400751	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	0	candidate	4158490	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	1	candidate	4291921	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	1	baseline	4253337	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	2	baseline	4016297	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	2	candidate	4295518	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	3	candidate	4061135	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	3	baseline	3988937	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	4	baseline	4249956	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	4	candidate	4119410	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	0	baseline	891093	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	0	candidate	957856	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	1	candidate	914995	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	1	baseline	901738	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	2	baseline	934523	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	2	candidate	951923	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	3	candidate	899756	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	3	baseline	917880	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	4	baseline	878881	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	4	candidate	894200	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
fixed-4096	124013	0	baseline	745456	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	0	candidate	736933	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	1	candidate	753080	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	1	baseline	698725	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	2	baseline	695690	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	2	candidate	651211	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	3	candidate	747332	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	3	baseline	742648	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	4	baseline	721854	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-4096	124013	4	candidate	669774	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
