canonical_key	item_path	member_name	source_path	primary_contract_id	markers
src/alloc/collections/btree/map.rs.html#1501|provided_or_inherent_method|entry	alloc::collections::btree_map::BTreeMap	entry	src/alloc/collections/btree/map.rs.html#1501	MAP-ENTRY-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#1624|provided_or_inherent_method|extract_if	alloc::collections::btree_map::BTreeMap	extract_if	src/alloc/collections/btree/map.rs.html#1624	OMAP-FILTER-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#838|provided_or_inherent_method|first_entry	alloc::collections::btree_map::BTreeMap	first_entry	src/alloc/collections/btree/map.rs.html#838	OMAP-END-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#810|provided_or_inherent_method|first_key_value	alloc::collections::btree_map::BTreeMap	first_key_value	src/alloc/collections/btree/map.rs.html#810	OMAP-END-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#717|provided_or_inherent_method|get	alloc::collections::btree_map::BTreeMap	get	src/alloc/collections/btree/map.rs.html#717	OMAP-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#783|provided_or_inherent_method|get_key_value	alloc::collections::btree_map::BTreeMap	get_key_value	src/alloc/collections/btree/map.rs.html#783	OMAP-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1006|provided_or_inherent_method|get_mut	alloc::collections::btree_map::BTreeMap	get_mut	src/alloc/collections/btree/map.rs.html#1006	OMAP-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1045|provided_or_inherent_method|insert	alloc::collections::btree_map::BTreeMap	insert	src/alloc/collections/btree/map.rs.html#1045	OMAP-INSERT-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1682|provided_or_inherent_method|into_keys	alloc::collections::btree_map::BTreeMap	into_keys	src/alloc/collections/btree/map.rs.html#1682	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#1704|provided_or_inherent_method|into_values	alloc::collections::btree_map::BTreeMap	into_values	src/alloc/collections/btree/map.rs.html#1704	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#2848|provided_or_inherent_method|is_empty	alloc::collections::btree_map::BTreeMap	is_empty	src/alloc/collections/btree/map.rs.html#2848	OMAP-META-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#2702|provided_or_inherent_method|iter	alloc::collections::btree_map::BTreeMap	iter	src/alloc/collections/btree/map.rs.html#2702	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#2733|provided_or_inherent_method|iter_mut	alloc::collections::btree_map::BTreeMap	iter_mut	src/alloc/collections/btree/map.rs.html#2733	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#2758|provided_or_inherent_method|keys	alloc::collections::btree_map::BTreeMap	keys	src/alloc/collections/btree/map.rs.html#2758	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#921|provided_or_inherent_method|last_entry	alloc::collections::btree_map::BTreeMap	last_entry	src/alloc/collections/btree/map.rs.html#921	OMAP-END-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#893|provided_or_inherent_method|last_key_value	alloc::collections::btree_map::BTreeMap	last_key_value	src/alloc/collections/btree/map.rs.html#893	OMAP-END-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#2825|provided_or_inherent_method|len	alloc::collections::btree_map::BTreeMap	len	src/alloc/collections/btree/map.rs.html#2825	OMAP-META-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#651|provided_or_inherent_method|new	alloc::collections::btree_map::BTreeMap	new	src/alloc/collections/btree/map.rs.html#651	OMAP-META-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#872|provided_or_inherent_method|pop_first	alloc::collections::btree_map::BTreeMap	pop_first	src/alloc/collections/btree/map.rs.html#872	OMAP-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#955|provided_or_inherent_method|pop_last	alloc::collections::btree_map::BTreeMap	pop_last	src/alloc/collections/btree/map.rs.html#955	OMAP-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1429|provided_or_inherent_method|range	alloc::collections::btree_map::BTreeMap	range	src/alloc/collections/btree/map.rs.html#1429	OMAP-RANGE-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#1469|provided_or_inherent_method|range_mut	alloc::collections::btree_map::BTreeMap	range_mut	src/alloc/collections/btree/map.rs.html#1469	OMAP-RANGE-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#1129|provided_or_inherent_method|remove	alloc::collections::btree_map::BTreeMap	remove	src/alloc/collections/btree/map.rs.html#1129	OMAP-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1154|provided_or_inherent_method|remove_entry	alloc::collections::btree_map::BTreeMap	remove_entry	src/alloc/collections/btree/map.rs.html#1154	OMAP-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1192|provided_or_inherent_method|retain	alloc::collections::btree_map::BTreeMap	retain	src/alloc/collections/btree/map.rs.html#1192	OMAP-FILTER-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#1561|provided_or_inherent_method|split_off	alloc::collections::btree_map::BTreeMap	split_off	src/alloc/collections/btree/map.rs.html#1561	OMAP-BULK-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#2777|provided_or_inherent_method|values	alloc::collections::btree_map::BTreeMap	values	src/alloc/collections/btree/map.rs.html#2777	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/map.rs.html#2801|provided_or_inherent_method|values_mut	alloc::collections::btree_map::BTreeMap	values_mut	src/alloc/collections/btree/map.rs.html#2801	OMAP-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#1139|provided_or_inherent_method|append	alloc::collections::btree_set::BTreeSet	append	src/alloc/collections/btree/set.rs.html#1139	OSET-BULK-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#583|provided_or_inherent_method|clear	alloc::collections::btree_set::BTreeSet	clear	src/alloc/collections/btree/set.rs.html#583	OSET-BULK-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#606|provided_or_inherent_method|contains	alloc::collections::btree_set::BTreeSet	contains	src/alloc/collections/btree/set.rs.html#606	OSET-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#428|provided_or_inherent_method|difference	alloc::collections::btree_set::BTreeSet	difference	src/alloc/collections/btree/set.rs.html#428	SET-ALG-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#1218|provided_or_inherent_method|extract_if	alloc::collections::btree_set::BTreeSet	extract_if	src/alloc/collections/btree/set.rs.html#1218	OSET-FILTER-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#792|provided_or_inherent_method|first	alloc::collections::btree_set::BTreeSet	first	src/alloc/collections/btree/set.rs.html#792	OSET-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#631|provided_or_inherent_method|get	alloc::collections::btree_set::BTreeSet	get	src/alloc/collections/btree/set.rs.html#631	OSET-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#900|provided_or_inherent_method|insert	alloc::collections::btree_set::BTreeSet	insert	src/alloc/collections/btree/set.rs.html#900	OSET-INSERT-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#516|provided_or_inherent_method|intersection	alloc::collections::btree_set::BTreeSet	intersection	src/alloc/collections/btree/set.rs.html#516	SET-ALG-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#658|provided_or_inherent_method|is_disjoint	alloc::collections::btree_set::BTreeSet	is_disjoint	src/alloc/collections/btree/set.rs.html#658	SET-REL-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#1292|provided_or_inherent_method|is_empty	alloc::collections::btree_set::BTreeSet	is_empty	src/alloc/collections/btree/set.rs.html#1292	OSET-META-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#684|provided_or_inherent_method|is_subset	alloc::collections::btree_set::BTreeSet	is_subset	src/alloc/collections/btree/set.rs.html#684	SET-REL-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#765|provided_or_inherent_method|is_superset	alloc::collections::btree_set::BTreeSet	is_superset	src/alloc/collections/btree/set.rs.html#765	SET-REL-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#1245|provided_or_inherent_method|iter	alloc::collections::btree_set::BTreeSet	iter	src/alloc/collections/btree/set.rs.html#1245	OSET-RANGE-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#819|provided_or_inherent_method|last	alloc::collections::btree_set::BTreeSet	last	src/alloc/collections/btree/set.rs.html#819	OSET-LOOKUP-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#1269|provided_or_inherent_method|len	alloc::collections::btree_set::BTreeSet	len	src/alloc/collections/btree/set.rs.html#1269	OSET-META-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#344|provided_or_inherent_method|new	alloc::collections::btree_set::BTreeSet	new	src/alloc/collections/btree/set.rs.html#344	OSET-META-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#843|provided_or_inherent_method|pop_first	alloc::collections::btree_set::BTreeSet	pop_first	src/alloc/collections/btree/set.rs.html#843	OSET-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#867|provided_or_inherent_method|pop_last	alloc::collections::btree_set::BTreeSet	pop_last	src/alloc/collections/btree/set.rs.html#867	OSET-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#398|provided_or_inherent_method|range	alloc::collections::btree_set::BTreeSet	range	src/alloc/collections/btree/set.rs.html#398	OSET-RANGE-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#1053|provided_or_inherent_method|remove	alloc::collections::btree_set::BTreeSet	remove	src/alloc/collections/btree/set.rs.html#1053	OSET-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#924|provided_or_inherent_method|replace	alloc::collections::btree_set::BTreeSet	replace	src/alloc/collections/btree/set.rs.html#924	OSET-INSERT-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#1102|provided_or_inherent_method|retain	alloc::collections::btree_set::BTreeSet	retain	src/alloc/collections/btree/set.rs.html#1102	OSET-FILTER-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#1177|provided_or_inherent_method|split_off	alloc::collections::btree_set::BTreeSet	split_off	src/alloc/collections/btree/set.rs.html#1177	OSET-BULK-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#485|provided_or_inherent_method|symmetric_difference	alloc::collections::btree_set::BTreeSet	symmetric_difference	src/alloc/collections/btree/set.rs.html#485	SET-ALG-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/btree/set.rs.html#1078|provided_or_inherent_method|take	alloc::collections::btree_set::BTreeSet	take	src/alloc/collections/btree/set.rs.html#1078	OSET-REMOVE-01	stable_safe_seed
src/alloc/collections/btree/set.rs.html#563|provided_or_inherent_method|union	alloc::collections::btree_set::BTreeSet	union	src/alloc/collections/btree/set.rs.html#563	SET-ALG-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/linked_list.rs.html#481|provided_or_inherent_method|append	alloc::collections::linked_list::LinkedList	append	src/alloc/collections/linked_list.rs.html#481	LIST-BULK-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#796|provided_or_inherent_method|back	alloc::collections::linked_list::LinkedList	back	src/alloc/collections/linked_list.rs.html#796	LIST-END-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#824|provided_or_inherent_method|back_mut	alloc::collections::linked_list::LinkedList	back_mut	src/alloc/collections/linked_list.rs.html#824	LIST-END-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#685|provided_or_inherent_method|clear	alloc::collections::linked_list::LinkedList	clear	src/alloc/collections/linked_list.rs.html#685	LIST-DROP-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#717|provided_or_inherent_method|contains	alloc::collections::linked_list::LinkedList	contains	src/alloc/collections/linked_list.rs.html#717	LIST-SEARCH-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#1164|provided_or_inherent_method|extract_if	alloc::collections::linked_list::LinkedList	extract_if	src/alloc/collections/linked_list.rs.html#1164	LIST-EXTRACT-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/linked_list.rs.html#744|provided_or_inherent_method|front	alloc::collections::linked_list::LinkedList	front	src/alloc/collections/linked_list.rs.html#744	LIST-END-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#773|provided_or_inherent_method|front_mut	alloc::collections::linked_list::LinkedList	front_mut	src/alloc/collections/linked_list.rs.html#773	LIST-END-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#631|provided_or_inherent_method|is_empty	alloc::collections::linked_list::LinkedList	is_empty	src/alloc/collections/linked_list.rs.html#631	LIST-META-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#540|provided_or_inherent_method|iter	alloc::collections::linked_list::LinkedList	iter	src/alloc/collections/linked_list.rs.html#540	LIST-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/linked_list.rs.html#569|provided_or_inherent_method|iter_mut	alloc::collections::linked_list::LinkedList	iter_mut	src/alloc/collections/linked_list.rs.html#569	LIST-ITER-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/linked_list.rs.html#659|provided_or_inherent_method|len	alloc::collections::linked_list::LinkedList	len	src/alloc/collections/linked_list.rs.html#659	LIST-META-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#447|provided_or_inherent_method|new	alloc::collections::linked_list::LinkedList	new	src/alloc/collections/linked_list.rs.html#447	LIST-META-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#965|provided_or_inherent_method|pop_back	alloc::collections::linked_list::LinkedList	pop_back	src/alloc/collections/linked_list.rs.html#965	LIST-POP-01	stable_safe_seed
